LocationTime,LOCATION,TIME,Healthy_Spend_Val
ALB-2000,ALB,2000,61.383
ALB-2001,ALB,2001,60.728
ALB-2002,ALB,2002,62.054
ALB-2003,ALB,2003,58.017
ALB-2004,ALB,2004,55.752
ALB-2005,ALB,2005,55.734
ALB-2006,ALB,2006,54.589
ALB-2007,ALB,2007,58.621
ALB-2008,ALB,2008,54.319
ALB-2009,ALB,2009,49.059
ALB-2010,ALB,2010,25.4295
ALB-2011,ALB,2011,26.3145
ALB-2012,ALB,2012,26.82
ALB-2013,ALB,2013,27.203
ALB-2014,ALB,2014,27.6645
ALB-2015,ALB,2015,22.932499999999997
ALB-2016,ALB,2016,22.130499999999998
ALB-2017,ALB,2017,23.5775
ALB-2018,ALB,2018,23.652
ARG-2000,ARG,2000,24.4925
ARG-2001,ARG,2001,24.453
ARG-2002,ARG,2002,24.4
ARG-2003,ARG,2003,24.194000000000003
ARG-2004,ARG,2004,25.830499999999997
ARG-2005,ARG,2005,26.127
ARG-2006,ARG,2006,25.508000000000003
ARG-2007,ARG,2007,24.623
ARG-2008,ARG,2008,24.287
ARG-2009,ARG,2009,21.9005
ARG-2010,ARG,2010,22.443
ARG-2011,ARG,2011,21.6695
ARG-2012,ARG,2012,20.5815
ARG-2013,ARG,2013,19.739
ARG-2014,ARG,2014,18.767500000000002
ARG-2015,ARG,2015,18.1895
ARG-2016,ARG,2016,20.484
ARG-2017,ARG,2017,20.084500000000002
ARG-2018,ARG,2018,20.999
ARG-2019,ARG,2019,20.4755
AUS-1990,AUS,1990,143.44199999999998
AUS-1991,AUS,1991,151.88899999999998
AUS-1992,AUS,1992,160.79633333333334
AUS-1993,AUS,1993,169.40066666666667
AUS-1994,AUS,1994,179.40966666666668
AUS-1995,AUS,1995,184.3613333333333
AUS-1996,AUS,1996,199.39866666666668
AUS-1997,AUS,1997,199.87733333333335
AUS-1998,AUS,1998,209.061
AUS-1999,AUS,1999,208.5
AUS-2000,AUS,2000,238.306
AUS-2001,AUS,2001,257.77566666666667
AUS-2002,AUS,2002,270.7526666666667
AUS-2003,AUS,2003,286.12166666666667
AUS-2004,AUS,2004,308.76733333333334
AUS-2005,AUS,2005,313.91533333333336
AUS-2006,AUS,2006,327.9533333333333
AUS-2007,AUS,2007,338.4243333333333
AUS-2008,AUS,2008,357.3866666666666
AUS-2009,AUS,2009,360.91433333333333
AUS-2010,AUS,2010,387.0083333333334
AUS-2011,AUS,2011,402.03566666666666
AUS-2012,AUS,2012,428.83733333333333
AUS-2013,AUS,2013,490.02299999999997
AUS-2014,AUS,2014,504.5516666666667
AUS-2015,AUS,2015,511.6526666666667
AUS-2016,AUS,2016,535.412
AUS-2017,AUS,2017,535.1313333333334
AUS-2018,AUS,2018,537.9026666666667
AUS-2019,AUS,2019,489.876
AUS-2020,AUS,2020,545.084
AUT-1990,AUT,1990,135.79533333333333
AUT-1991,AUT,1991,144.3923333333333
AUT-1992,AUT,1992,151.95033333333333
AUT-1993,AUT,1993,161.96033333333332
AUT-1994,AUT,1994,170.434
AUT-1995,AUT,1995,181.0376666666667
AUT-1996,AUT,1996,189.26633333333336
AUT-1997,AUT,1997,194.03300000000002
AUT-1998,AUT,1998,207.78433333333336
AUT-1999,AUT,1999,217.44633333333334
AUT-2000,AUT,2000,237.54533333333336
AUT-2001,AUT,2001,247.2733333333333
AUT-2002,AUT,2002,269.70433333333335
AUT-2003,AUT,2003,281.166
AUT-2004,AUT,2004,312.4053333333333
AUT-2005,AUT,2005,311.0366666666667
AUT-2006,AUT,2006,319.52466666666663
AUT-2007,AUT,2007,333.70166666666665
AUT-2008,AUT,2008,343.81666666666666
AUT-2009,AUT,2009,348.6413333333333
AUT-2010,AUT,2010,369.24
AUT-2011,AUT,2011,376.99133333333333
AUT-2012,AUT,2012,396.58199999999994
AUT-2013,AUT,2013,422.60499999999996
AUT-2014,AUT,2014,430.44533333333334
AUT-2015,AUT,2015,437.0226666666667
AUT-2016,AUT,2016,460.52933333333334
AUT-2017,AUT,2017,469.8953333333334
AUT-2018,AUT,2018,475.288
AUT-2019,AUT,2019,476.29600000000005
AUT-2020,AUT,2020,470.4936666666667
BEL-1990,BEL,1990,
BEL-1991,BEL,1991,
BEL-1992,BEL,1992,
BEL-1993,BEL,1993,
BEL-1994,BEL,1994,
BEL-1995,BEL,1995,137.533
BEL-1996,BEL,1996,136.458
BEL-1997,BEL,1997,157.79
BEL-1998,BEL,1998,167.08633333333333
BEL-1999,BEL,1999,179.62166666666667
BEL-2000,BEL,2000,203.68333333333337
BEL-2001,BEL,2001,205.9523333333333
BEL-2002,BEL,2002,240.41166666666666
BEL-2003,BEL,2003,259.2776666666667
BEL-2004,BEL,2004,265.7846666666666
BEL-2005,BEL,2005,269.3546666666667
BEL-2006,BEL,2006,279.39500000000004
BEL-2007,BEL,2007,293.4696666666667
BEL-2008,BEL,2008,294.87
BEL-2009,BEL,2009,301.39666666666665
BEL-2010,BEL,2010,317.7036666666667
BEL-2011,BEL,2011,330.231
BEL-2012,BEL,2012,338.016
BEL-2013,BEL,2013,360.0173333333333
BEL-2014,BEL,2014,369.0756666666666
BEL-2015,BEL,2015,381.73600000000005
BEL-2016,BEL,2016,388.93666666666667
BEL-2017,BEL,2017,397.05699999999996
BEL-2018,BEL,2018,410.90933333333334
BEL-2019,BEL,2019,436.6086666666667
BEL-2020,BEL,2020,382.57733333333334
BGR-2003,BGR,2003,95.295
BGR-2004,BGR,2004,102.30799999999999
BGR-2005,BGR,2005,109.343
BGR-2006,BGR,2006,121.92333333333333
BGR-2007,BGR,2007,129.69033333333334
BGR-2008,BGR,2008,142.91166666666666
BGR-2009,BGR,2009,152.76366666666667
BGR-2010,BGR,2010,169.37933333333334
BGR-2011,BGR,2011,189.44233333333332
BGR-2012,BGR,2012,222.73299999999998
BGR-2013,BGR,2013,193.94366666666667
BGR-2014,BGR,2014,209.7976666666667
BGR-2015,BGR,2015,225.814
BGR-2016,BGR,2016,253.84466666666665
BGR-2017,BGR,2017,261.9396666666667
BGR-2018,BGR,2018,255.64766666666665
BGR-2019,BGR,2019,249.95166666666663
BGR-2020,BGR,2020,274.36266666666666
BRA-2000,BRA,2000,31.613999999999997
BRA-2001,BRA,2001,31.974
BRA-2002,BRA,2002,31.312
BRA-2003,BRA,2003,30.911
BRA-2004,BRA,2004,30.994
BRA-2005,BRA,2005,31.529
BRA-2006,BRA,2006,30.889
BRA-2007,BRA,2007,31.114
BRA-2008,BRA,2008,30.380499999999998
BRA-2009,BRA,2009,30.259999999999998
BRA-2010,BRA,2010,29.6725
BRA-2011,BRA,2011,237.95166666666668
BRA-2012,BRA,2012,251.0726666666667
BRA-2013,BRA,2013,259.9436666666667
BRA-2014,BRA,2014,276.316
BRA-2015,BRA,2015,263.64
BRA-2016,BRA,2016,265.84566666666666
BRA-2017,BRA,2017,275.98900000000003
BRA-2018,BRA,2018,287.777
BRA-2019,BRA,2019,300.152
CAN-1990,CAN,1990,155.08633333333333
CAN-1991,CAN,1991,163.95533333333333
CAN-1992,CAN,1992,175.03233333333333
CAN-1993,CAN,1993,187.6526666666667
CAN-1994,CAN,1994,196.851
CAN-1995,CAN,1995,202.72466666666665
CAN-1996,CAN,1996,206.92433333333335
CAN-1997,CAN,1997,221.78
CAN-1998,CAN,1998,228.95466666666667
CAN-1999,CAN,1999,240.5823333333333
CAN-2000,CAN,2000,256.11633333333333
CAN-2001,CAN,2001,275.95733333333334
CAN-2002,CAN,2002,293.69666666666666
CAN-2003,CAN,2003,302.836
CAN-2004,CAN,2004,324.44866666666667
CAN-2005,CAN,2005,341.6666666666667
CAN-2006,CAN,2006,366.36733333333336
CAN-2007,CAN,2007,387.118
CAN-2008,CAN,2008,399.16533333333336
CAN-2009,CAN,2009,403.16866666666664
CAN-2010,CAN,2010,427.74333333333334
CAN-2011,CAN,2011,430.51933333333335
CAN-2012,CAN,2012,437.73766666666666
CAN-2013,CAN,2013,442.6603333333334
CAN-2014,CAN,2014,455.542
CAN-2015,CAN,2015,464.21266666666673
CAN-2016,CAN,2016,521.0026666666666
CAN-2017,CAN,2017,530.8183333333334
CAN-2018,CAN,2018,544.4443333333334
CAN-2019,CAN,2019,533.9526666666667
CAN-2020,CAN,2020,495.734
CHE-1990,CHE,1990,
CHE-1991,CHE,1991,
CHE-1992,CHE,1992,
CHE-1993,CHE,1993,
CHE-1994,CHE,1994,
CHE-1995,CHE,1995,404.532
CHE-1996,CHE,1996,417.42699999999996
CHE-1997,CHE,1997,426.82166666666666
CHE-1998,CHE,1998,440.68433333333337
CHE-1999,CHE,1999,450.818
CHE-2000,CHE,2000,479.63733333333334
CHE-2001,CHE,2001,496.182
CHE-2002,CHE,2002,520.2646666666666
CHE-2003,CHE,2003,514.8706666666667
CHE-2004,CHE,2004,540.332
CHE-2005,CHE,2005,519.1626666666666
CHE-2006,CHE,2006,543.6383333333333
CHE-2007,CHE,2007,589.4083333333333
CHE-2008,CHE,2008,609.042
CHE-2009,CHE,2009,618.9933333333333
CHE-2010,CHE,2010,618.9286666666666
CHE-2011,CHE,2011,629.9166666666666
CHE-2012,CHE,2012,640.0383333333333
CHE-2013,CHE,2013,664.5303333333333
CHE-2014,CHE,2014,708.6750000000001
CHE-2015,CHE,2015,740.3133333333334
CHE-2016,CHE,2016,796.509
CHE-2017,CHE,2017,793.8583333333332
CHE-2018,CHE,2018,804.8463333333333
CHE-2019,CHE,2019,781.451
CHE-2020,CHE,2020,736.4496666666668
CHL-2000,CHL,2000,108.42766666666667
CHL-2001,CHL,2001,114.59333333333335
CHL-2002,CHL,2002,119.37166666666667
