LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
AUS-1990,AUS,SOCEXP,1990,1.096
AUS-1991,AUS,SOCEXP,1991,1.204
AUS-1992,AUS,SOCEXP,1992,1.236
AUS-1993,AUS,SOCEXP,1993,1.397
AUS-1994,AUS,SOCEXP,1994,1.419
AUS-1995,AUS,SOCEXP,1995,3.295
AUS-1996,AUS,SOCEXP,1996,3.526
AUS-1997,AUS,SOCEXP,1997,3.858
AUS-1998,AUS,SOCEXP,1998,3.538
AUS-1999,AUS,SOCEXP,1999,4.025
AUS-2000,AUS,SOCEXP,2000,3.717
AUS-2001,AUS,SOCEXP,2001,4.01
AUS-2002,AUS,SOCEXP,2002,3.96
AUS-2003,AUS,SOCEXP,2003,3.486
AUS-2004,AUS,SOCEXP,2004,2.743
AUS-2005,AUS,SOCEXP,2005,2.846
AUS-2006,AUS,SOCEXP,2006,2.878
AUS-2007,AUS,SOCEXP,2007,5.18
AUS-2008,AUS,SOCEXP,2008,4.437
AUS-2009,AUS,SOCEXP,2009,4.324
AUS-2010,AUS,SOCEXP,2010,4.336
AUS-2011,AUS,SOCEXP,2011,4.624
AUS-2012,AUS,SOCEXP,2012,4.843
AUS-2013,AUS,SOCEXP,2013,5.42
AUS-2014,AUS,SOCEXP,2014,5.999
AUS-2015,AUS,SOCEXP,2015,6.193
AUS-2016,AUS,SOCEXP,2016,6.361
AUS-2017,AUS,SOCEXP,2017,6.565
AUS-1990,AUS,SOCEXP,1990,13.141
AUS-1991,AUS,SOCEXP,1991,14.306
AUS-1992,AUS,SOCEXP,1992,15.285
AUS-1993,AUS,SOCEXP,1993,15.545
AUS-1994,AUS,SOCEXP,1994,15.271
AUS-1995,AUS,SOCEXP,1995,16.913
AUS-1996,AUS,SOCEXP,1996,17.028
AUS-1997,AUS,SOCEXP,1997,16.786
AUS-1998,AUS,SOCEXP,1998,17.61
AUS-1999,AUS,SOCEXP,1999,17.239
AUS-2000,AUS,SOCEXP,2000,18.244
AUS-2001,AUS,SOCEXP,2001,17.539
AUS-2002,AUS,SOCEXP,2002,17.348
AUS-2003,AUS,SOCEXP,2003,17.546
AUS-2004,AUS,SOCEXP,2004,17.238
AUS-2005,AUS,SOCEXP,2005,16.694
AUS-2006,AUS,SOCEXP,2006,15.713
AUS-2007,AUS,SOCEXP,2007,15.873
AUS-2008,AUS,SOCEXP,2008,17.051
AUS-2009,AUS,SOCEXP,2009,16.869
AUS-2010,AUS,SOCEXP,2010,16.561
AUS-2011,AUS,SOCEXP,2011,17.015
AUS-2012,AUS,SOCEXP,2012,17.302
AUS-2013,AUS,SOCEXP,2013,17.247
AUS-2014,AUS,SOCEXP,2014,17.78
AUS-2015,AUS,SOCEXP,2015,18.148
AUS-2016,AUS,SOCEXP,2016,17.408
AUS-2017,AUS,SOCEXP,2017,16.71
AUS-1995,AUS,SOCEXP,1995,15.995
AUS-1997,AUS,SOCEXP,1997,15.924
AUS-1999,AUS,SOCEXP,1999,16.492
AUS-2001,AUS,SOCEXP,2001,16.946
AUS-2003,AUS,SOCEXP,2003,16.887
AUS-2005,AUS,SOCEXP,2005,16.275
AUS-2007,AUS,SOCEXP,2007,15.611
AUS-2009,AUS,SOCEXP,2009,16.622
AUS-2011,AUS,SOCEXP,2011,16.805
AUS-2013,AUS,SOCEXP,2013,16.999
AUS-2015,AUS,SOCEXP,2015,18.003
AUS-2017,AUS,SOCEXP,2017,16.624
AUS-1995,AUS,SOCEXP,1995,19.071
AUS-1997,AUS,SOCEXP,1997,19.517
AUS-1999,AUS,SOCEXP,1999,20.23
AUS-2001,AUS,SOCEXP,2001,20.479
AUS-2003,AUS,SOCEXP,2003,19.933
AUS-2005,AUS,SOCEXP,2005,18.723
AUS-2007,AUS,SOCEXP,2007,20.122
AUS-2009,AUS,SOCEXP,2009,20.378
AUS-2011,AUS,SOCEXP,2011,20.852
AUS-2013,AUS,SOCEXP,2013,21.81
AUS-2015,AUS,SOCEXP,2015,23.496
AUS-2017,AUS,SOCEXP,2017,22.48
AUS-1990,AUS,SOCEXP,1990,3928.253
AUS-1991,AUS,SOCEXP,1991,4239.755
AUS-1992,AUS,SOCEXP,1992,4659.895
AUS-1993,AUS,SOCEXP,1993,4884.162
AUS-1994,AUS,SOCEXP,1994,4934.387
AUS-1995,AUS,SOCEXP,1995,5614.113
AUS-1996,AUS,SOCEXP,1996,5805.342
AUS-1997,AUS,SOCEXP,1997,5920.537
AUS-1998,AUS,SOCEXP,1998,6461.523
AUS-1999,AUS,SOCEXP,1999,6502.822
AUS-2000,AUS,SOCEXP,2000,6934.889
AUS-2001,AUS,SOCEXP,2001,6845.28
AUS-2002,AUS,SOCEXP,2002,6893.75
AUS-2003,AUS,SOCEXP,2003,7172.538
