LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
ARG-1990,9.3,9.5,52.0,31.3,84.0,25.8,34.3,20.4,3.7,1854.0
ARG-1991,8.2,8.4,53.6,30.8,84.0,26.1,61.8,13.4,3.7,1845.6
ARG-1992,9.0,8.2,61.8,33.0,86.7,25.5,59.4,12.1,2.0,1855.7
ARG-1993,9.3,7.5,59.4,33.7,87.2,24.6,45.8,11.3,1.9,1874.2
ARG-1994,8.7,10.0,45.8,36.1,87.5,24.3,52.3,10.8,1.9,1870.3
ARG-1995,8.4,7.6,52.3,36.9,87.1,21.9,51.2,10.4,1.8,1861.5
ARG-1996,8.4,8.1,51.2,37.6,86.8,22.4,49.8,10.2,1.7,1860.8
ARG-1997,8.1,6.7,49.8,38.3,86.8,21.7,54.2,10.1,1.9,1849.9
ARG-1998,8.4,6.3,54.2,41.3,83.1,25.0,51.3,9.3,2.0,1856.1
ARG-1999,8.4,8.3,51.3,39.5,83.5,28.0,52.8,9.8,2.5,1852.2
ARG-2000,9.4,7.5,52.8,41.9,83.2,24.5,51.6,28.2,2.5,1828.7
ARG-2001,10.3,6.8,51.6,38.5,83.3,24.5,49.9,25.9,2.4,1818.0
ARG-2002,10.1,7.5,49.9,30.1,84.4,24.4,50.1,20.4,2.4,1806.5
ARG-2003,10.3,8.5,50.1,27.6,84.8,24.2,51.2,18.2,2.1,1811.4
ARG-2004,9.4,9.2,51.2,16.7,83.1,25.8,50.2,17.5,2.1,1802.4
ARG-2005,9.1,8.2,50.2,17.5,85.8,26.1,48.5,16.2,2.2,1803.1
ARG-2006,8.9,7.6,48.5,17.8,87.2,25.5,47.0,16.3,1.9,1799.1
ARG-2007,8.3,7.8,47.0,18.0,84.0,24.6,45.8,15.7,2.0,1766.7
ARG-2008,8.5,8.4,45.8,19.0,86.5,24.3,44.8,16.1,2.4,1777.6
ARG-2009,7.9,8.9,44.8,19.5,86.7,21.9,43.4,14.9,2.1,1773.9
ARG-2010,7.9,8.2,43.4,20.1,87.2,22.4,42.8,14.0,2.1,1770.8
ARG-2011,7.6,7.7,42.8,20.2,87.5,21.7,41.4,13.1,2.2,1766.0
ARG-2012,8.4,8.0,41.4,20.6,87.1,20.6,40.6,12.5,1.9,1755.1
ARG-2013,7.6,8.3,40.6,21.1,86.8,19.7,41.2,12.0,2.0,1751.3
ARG-2014,8.1,7.9,41.2,20.5,86.8,18.8,34.3,11.3,2.1,1761.3
ARG-2015,7.9,8.5,44.8,28.9,84.0,18.2,52.3,10.3,2.1,1761.3
ARG-2016,7.6,8.4,43.4,28.9,84.0,20.5,51.2,20.4,2.2,1803.1
ARG-2017,7.8,8.3,42.8,21.4,85.5,20.1,49.8,19.6,1.9,1799.1
ARG-2018,8.0,8.0,37.0,21.9,86.2,21.0,54.2,18.6,2.0,1766.7
ARG-2019,7.8,8.0,35.8,22.8,86.6,20.5,51.3,17.9,2.4,1761.3
AUS-1990,13.6,10.6,38.0,28.9,84.0,143.4,52.8,17.8,2.1,1853.0
AUS-1991,13.9,10.1,44.1,31.2,75.2,151.9,51.6,17.2,2.1,1854.0
AUS-1992,13.5,9.9,46.2,28.9,84.0,160.8,49.9,16.9,1.2,1845.6
AUS-1993,12.1,10.2,47.2,22.5,82.0,169.4,50.1,16.5,1.4,1855.7
AUS-1994,13.3,10.0,49.8,23.1,82.4,179.4,51.2,15.8,1.4,1874.2
AUS-1995,12.3,9.8,44.9,24.3,83.3,184.4,50.2,15.5,3.3,1870.3
AUS-1996,13.6,10.0,49.0,28.9,84.0,199.4,48.5,15.1,3.5,1861.5
AUS-1997,14.6,10.2,46.7,24.3,83.4,199.9,47.0,12.0,3.9,1860.8
AUS-1998,14.2,10.0,44.0,25.4,83.8,209.1,45.8,11.3,3.5,1849.9
AUS-1999,13.4,10.0,42.6,26.7,82.0,208.5,44.8,10.3,4.0,1856.1
AUS-2000,12.7,10.2,41.2,27.5,82.9,238.3,39.2,20.4,3.7,1852.2
AUS-2001,12.9,10.0,41.1,29.0,83.1,257.8,33.9,19.6,4.0,1828.7
AUS-2002,12.0,10.4,39.1,30.8,83.5,270.8,41.5,18.6,4.0,1818.0
AUS-2003,11.0,10.3,37.5,31.3,83.2,286.1,40.5,17.9,3.5,1806.5
