LocationTime,LOCATION,TIME,Work_Hour_Val
AUS-1990,AUS,1990,1853.0
AUS-1991,AUS,1991,1854.03811915011
AUS-1992,AUS,1992,1845.6043379902
AUS-1993,AUS,1993,1855.74418600485
AUS-1994,AUS,1994,1874.22702595268
AUS-1995,AUS,1995,1870.3078803203
AUS-1996,AUS,1996,1861.51681141638
AUS-1997,AUS,1997,1860.84842865841
AUS-1998,AUS,1998,1849.88192272734
AUS-1999,AUS,1999,1856.07991967208
AUS-2000,AUS,2000,1852.16221330258
AUS-2001,AUS,2001,1828.68534985625
AUS-2002,AUS,2002,1817.95614415663
AUS-2003,AUS,2003,1806.50344082021
AUS-2004,AUS,2004,1811.39604830845
AUS-2005,AUS,2005,1807.90422039924
AUS-2006,AUS,2006,1802.43110605435
AUS-2007,AUS,2007,1803.09856548217
AUS-2008,AUS,2008,1799.05290058731
AUS-2009,AUS,2009,1766.65426717138
AUS-2010,AUS,2010,1777.57063811043
AUS-2011,AUS,2011,1773.8951196348
AUS-2012,AUS,2012,1770.77504879768
AUS-2013,AUS,2013,1766.00918545794
AUS-2014,AUS,2014,1755.13274869288
AUS-2015,AUS,2015,1751.30537336357
AUS-2016,AUS,2016,1738.71539952934
AUS-2017,AUS,2017,1738.4942536067
AUS-2018,AUS,2018,1732.53874302482
AUS-2019,AUS,2019,1722.31334232542
AUS-2020,AUS,2020,1683.11193199766
AUT-1995,AUT,1995,1653.0
AUT-1996,AUT,1996,1683.0
AUT-1997,AUT,1997,1691.0
AUT-1998,AUT,1998,1671.0
AUT-1999,AUT,1999,1675.0
AUT-2000,AUT,2000,1675.0
AUT-2001,AUT,2001,1663.0
AUT-2002,AUT,2002,1661.0
AUT-2003,AUT,2003,1652.0
AUT-2004,AUT,2004,1655.0
AUT-2005,AUT,2005,1632.0
AUT-2006,AUT,2006,1617.0
AUT-2007,AUT,2007,1606.0
AUT-2008,AUT,2008,1599.0
AUT-2009,AUT,2009,1558.0
AUT-2010,AUT,2010,1552.0
AUT-2011,AUT,2011,1557.0
AUT-2012,AUT,2012,1535.0
AUT-2013,AUT,2013,1520.0
AUT-2014,AUT,2014,1510.0
AUT-2015,AUT,2015,1495.0
AUT-2016,AUT,2016,1507.0
AUT-2017,AUT,2017,1498.0
AUT-2018,AUT,2018,1502.0
AUT-2019,AUT,2019,1508.64347667649
AUT-2020,AUT,2020,1400.69358244345
BEL-1990,BEL,1990,1662.9
BEL-1991,BEL,1991,1625.8
BEL-1992,BEL,1992,1602.7
BEL-1993,BEL,1993,1558.6
BEL-1994,BEL,1994,1558.6
BEL-1995,BEL,1995,1578.0
BEL-1996,BEL,1996,1575.0
BEL-1997,BEL,1997,1582.0
BEL-1998,BEL,1998,1574.0
BEL-1999,BEL,1999,1575.0
BEL-2000,BEL,2000,1589.0
BEL-2001,BEL,2001,1581.0
BEL-2002,BEL,2002,1594.0
BEL-2003,BEL,2003,1598.0
BEL-2004,BEL,2004,1588.0
BEL-2005,BEL,2005,1578.0
BEL-2006,BEL,2006,1592.0
BEL-2007,BEL,2007,1594.0
BEL-2008,BEL,2008,1582.0
BEL-2009,BEL,2009,1563.0
BEL-2010,BEL,2010,1574.0
BEL-2011,BEL,2011,1590.0
BEL-2012,BEL,2012,1587.0
BEL-2013,BEL,2013,1586.0
BEL-2014,BEL,2014,1582.0
BEL-2015,BEL,2015,1575.0
BEL-2016,BEL,2016,1574.0
BEL-2017,BEL,2017,1578.0
BEL-2018,BEL,2018,1580.0
BEL-2019,BEL,2019,1577.0
BEL-2020,BEL,2020,1443.0
BGR-1995,BGR,1995,1710.67442474483
