LocationTime,LOCATION,TIME,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_TRY_MEN,Edu_val_TRY_WOMEN,Edu_val_UPPSRY,Edu_val_UPPSRY_MEN,Edu_val_UPPSRY_WOMEN
ARG-2004,ARG,2004,51.205463,16.711861,14.196757,18.869257,32.082676,32.233356,31.980049
ARG-2005,ARG,2005,50.157974,17.471054,15.078322,19.570387,32.370968,32.341084,32.41021
ARG-2006,ARG,2006,48.472809,17.830963,14.619519,20.699968,33.696232,34.435829,33.035492
ARG-2008,ARG,2008,45.804825,18.973812,15.806544,21.795214,35.221363,35.603531,34.880924
ARG-2009,ARG,2009,44.794254,19.518599,15.809969,22.821455,35.687149,36.653378,34.826637
ARG-2010,ARG,2010,43.36871,20.111586,16.454426,23.414555,36.519707,37.50124,35.633228
ARG-2011,ARG,2011,42.753086,20.237337,16.613182,23.598551,37.009579,37.817463,36.260303
ARG-2012,ARG,2012,41.416412,20.556126,16.450985,24.307671,38.027462,39.247372,36.912628
ARG-2013,ARG,2013,40.635166,21.056189,17.356251,24.394377,38.308643,39.495987,37.237389
ARG-2014,ARG,2014,41.248135,20.534544,16.575907,24.082304,38.217319,39.36797,37.1861
ARG-2017,ARG,2017,38.528397,21.406713,17.488495,24.951094,40.064892,40.205906,39.937328
ARG-2018,ARG,2018,36.971165,21.924601,18.074459,25.382948,41.104233,41.380878,40.85574
ARG-2019,ARG,2019,35.771305,22.811752,18.822496,26.465517,41.416943,41.982956,40.898529
ARG-2020,ARG,2020,37.158802,22.400209,17.788971,26.532795,40.44099,40.910633,40.020096
AUS-1991,AUS,1991,44.127056,31.15881,26.691803,35.655266,24.714134,36.52914,12.821236
AUS-1993,AUS,1993,47.159046,22.469191,23.508869,21.418512,30.371763,39.44511,21.20241
AUS-1994,AUS,1994,49.802025,23.072365,24.40707,21.740088,27.12561,35.719109,18.547768
AUS-1995,AUS,1995,44.935852,24.315445,25.825409,22.807888,30.748701,38.590477,22.919441
AUS-1997,AUS,1997,46.695274,24.30127,23.803526,24.797144,29.003454,36.424648,21.61014
AUS-1998,AUS,1998,43.955959,25.420708,24.421713,26.414537,30.623333,38.964981,22.324818
AUS-1999,AUS,1999,42.610085,26.693399,25.668303,27.711052,30.696516,38.878944,22.573496
AUS-2000,AUS,2000,41.212311,27.475746,26.104818,28.838318,31.311945,39.636139,23.038479
AUS-2001,AUS,2001,41.076141,28.977322,27.158642,30.789335,29.946537,38.641632,21.283302
AUS-2002,AUS,2002,39.050316,30.759785,29.45257,32.061394,30.189898,37.945316,22.467733
AUS-2003,AUS,2003,37.519817,31.314152,29.933653,32.682934,31.166031,38.530304,23.864265
AUS-2004,AUS,2004,35.879036,30.82308,29.046274,32.562542,33.297886,40.685963,26.065086
AUS-2005,AUS,2005,34.967968,31.691153,30.226416,33.12809,33.340881,39.643417,27.157965
AUS-2006,AUS,2006,33.289845,33.022213,30.650082,35.344658,33.687943,40.302822,27.211617
AUS-2007,AUS,2007,31.816732,33.73671,31.389452,36.054111,34.44656,40.850765,28.12381
AUS-2008,AUS,2008,30.064018,36.149986,33.012062,39.232346,33.785992,40.196865,27.488646
AUS-2009,AUS,2009,28.972523,36.881355,33.912621,39.784927,34.146122,39.860394,28.55728
AUS-2010,AUS,2010,26.792744,37.604309,34.390091,40.772198,35.602947,41.213478,30.073294
AUS-2011,AUS,2011,25.922543,38.342072,34.573837,42.043972,35.735386,40.957253,30.60544
AUS-2012,AUS,2012,23.563389,41.282364,37.532192,44.97641,35.154247,40.394192,29.992727
AUS-2013,AUS,2013,24.28443,39.539928,35.101803,43.913063,36.17564,41.56715,30.863087
AUS-2014,AUS,2014,22.895836,41.901855,38.390442,45.340527,35.202309,40.178089,30.329605
AUS-2015,AUS,2015,20.980896,42.888756,38.441013,47.239651,36.130348,41.919979,30.466787
AUS-2016,AUS,2016,20.067352,43.7439,39.76762,47.630001,36.188747,40.824184,31.658438
AUS-2017,AUS,2017,19.012659,45.355675,40.425915,50.127247,35.631668,41.172245,30.268877
AUS-2018,AUS,2018,18.108641,45.727478,40.441612,50.837093,36.163879,41.90353,30.615618
AUS-2019,AUS,2019,17.132658,47.129978,42.475243,51.648521,35.737366,40.558659,31.057135
AUS-2020,AUS,2020,16.244976,49.337452,44.057648,54.412212,34.417572,39.753174,29.289186
AUT-2004,AUT,2004,23.66626,24.783438,28.642731,20.959906,51.550304,54.158627,48.966152
AUT-2005,AUT,2005,23.055067,24.639351,27.894495,21.409132,52.305584,55.829376,48.808769
AUT-2006,AUT,2006,19.871609,25.356432,28.601042,22.137461,54.771961,57.74194,51.825451
AUT-2007,AUT,2007,20.062889,25.092672,28.065239,22.145061,54.844437,58.094372,51.621788
AUT-2008,AUT,2008,19.120087,26.191858,28.911415,23.499393,54.688057,57.617115,51.788177
AUT-2009,AUT,2009,18.354979,26.895824,29.133034,24.682976,54.749195,58.11142,51.423588
AUT-2010,AUT,2010,17.647495,27.743721,29.628262,25.881966,54.608784,57.820152,51.436245
AUT-2011,AUT,2011,17.636829,27.956152,29.97986,25.959198,54.407017,57.245796,51.605766
AUT-2012,AUT,2012,17.08353,28.739943,30.735928,26.770844,54.176529,56.999569,51.391518
AUT-2013,AUT,2013,17.028002,29.738844,31.345707,28.151951,53.233154,56.057396,50.444016
AUT-2014,AUT,2014,16.143999,29.904896,31.201277,28.621651,53.951103,56.800148,51.130924
AUT-2015,AUT,2015,15.351305,30.550726,31.968834,29.142385,54.097969,56.698669,51.515179
AUT-2016,AUT,2016,15.471591,31.383963,32.170181,30.600239,53.144444,56.066723,50.231434
AUT-2017,AUT,2017,15.037577,32.39439,32.91766,31.872847,52.568035,55.365974,49.77932
AUT-2018,AUT,2018,14.702526,32.711426,33.656857,31.769451,52.586048,55.005234,50.175697
AUT-2019,AUT,2019,14.435863,33.773777,34.190922,33.357452,51.790359,54.225082,49.360409
AUT-2020,AUT,2020,14.341329,34.205894,34.398293,34.013531,51.452774,53.847668,49.058273
BEL-1991,BEL,1991,56.83075,19.620007,20.618198,18.616419,23.549244,24.827625,22.263952
BEL-1992,BEL,1992,54.736912,20.226023,20.738079,19.710215,25.037067,26.224817,23.840614
BEL-1994,BEL,1994,50.637184,22.345255,22.280848,22.410318,27.017561,28.522648,25.497152
BEL-1995,BEL,1995,46.545418,24.604177,24.476532,24.733135,28.850407,29.873228,27.817055
BEL-2000,BEL,2000,41.47678,27.084993,26.565285,27.610184,31.438227,32.141563,30.72747
BEL-2001,BEL,2001,40.536442,27.626753,27.138931,28.119604,31.836805,32.879974,30.782875
BEL-2002,BEL,2002,39.196617,28.134819,27.368948,28.908737,32.668564,33.592075,31.735352
BEL-2003,BEL,2003,37.952141,29.031809,28.251083,29.820688,33.016048,33.779175,32.244953
BEL-2004,BEL,2004,35.708241,30.40086,29.457916,31.359032,33.8909,35.20274,32.557869
BEL-2005,BEL,2005,33.903755,31.045088,29.889402,32.211079,35.051159,36.364876,33.725727
