LocationTime,LOCATION,TIME,Poverty_Value_TOT
AUS-2012,AUS,2012,0.14
AUS-2014,AUS,2014,0.128
AUS-2016,AUS,2016,0.121
AUS-2018,AUS,2018,0.124
AUS-2020,AUS,2020,0.126
AUT-2007,AUT,2007,0.097
AUT-2008,AUT,2008,0.093
AUT-2009,AUT,2009,0.096
AUT-2010,AUT,2010,0.089
AUT-2011,AUT,2011,0.091
AUT-2012,AUT,2012,0.096
AUT-2013,AUT,2013,0.09
AUT-2014,AUT,2014,0.091
AUT-2015,AUT,2015,0.087
AUT-2016,AUT,2016,0.098
AUT-2017,AUT,2017,0.094
AUT-2018,AUT,2018,0.094
AUT-2019,AUT,2019,0.1
BEL-2018,BEL,2018,0.082
BEL-2019,BEL,2019,0.081
BGR-2006,BGR,2006,0.176
BGR-2007,BGR,2007,0.166
BGR-2008,BGR,2008,0.159
BGR-2009,BGR,2009,0.152
BGR-2010,BGR,2010,0.15
BGR-2011,BGR,2011,0.162
BGR-2012,BGR,2012,0.154
BGR-2013,BGR,2013,0.16
BGR-2014,BGR,2014,0.166
BGR-2015,BGR,2015,0.168
BGR-2016,BGR,2016,0.169
BGR-2017,BGR,2017,0.162
BGR-2018,BGR,2018,0.167
BGR-2019,BGR,2019,0.176
BRA-2006,BRA,2006,0.212
BRA-2009,BRA,2009,0.206
BRA-2011,BRA,2011,0.209
BRA-2013,BRA,2013,0.2
BRA-2016,BRA,2016,0.215
CAN-1990,CAN,1990,0.119
CAN-1991,CAN,1991,0.118
CAN-1992,CAN,1992,0.121
CAN-1993,CAN,1993,0.119
CAN-1994,CAN,1994,0.117
CAN-1995,CAN,1995,0.118
CAN-1996,CAN,1996,0.124
CAN-1997,CAN,1997,0.125
CAN-1998,CAN,1998,0.124
CAN-1999,CAN,1999,0.117
CAN-2000,CAN,2000,0.12
CAN-2001,CAN,2001,0.117
CAN-2002,CAN,2002,0.123
CAN-2003,CAN,2003,0.124
CAN-2004,CAN,2004,0.129
CAN-2005,CAN,2005,0.123
CAN-2006,CAN,2006,0.129
CAN-2007,CAN,2007,0.129
CAN-2008,CAN,2008,0.127
CAN-2009,CAN,2009,0.134
CAN-2010,CAN,2010,0.131
CAN-2011,CAN,2011,0.131
CAN-2012,CAN,2012,0.133
CAN-2013,CAN,2013,0.132
CAN-2014,CAN,2014,0.126
CAN-2015,CAN,2015,0.141
CAN-2016,CAN,2016,0.124
CAN-2017,CAN,2017,0.12
CAN-2018,CAN,2018,0.118
CAN-2019,CAN,2019,0.115
CAN-2020,CAN,2020,0.086
CHE-2006,CHE,2006,0.097
CHE-2007,CHE,2007,0.094
CHE-2008,CHE,2008,0.097
CHE-2009,CHE,2009,0.094
CHE-2010,CHE,2010,0.094
CHE-2011,CHE,2011,0.105
CHE-2012,CHE,2012,0.091
CHE-2013,CHE,2013,0.086
CHE-2014,CHE,2014,0.099
CHE-2015,CHE,2015,0.091
CHE-2016,CHE,2016,0.104
CHE-2017,CHE,2017,0.092
CHE-2018,CHE,2018,0.105
CHE-2019,CHE,2019,0.099
CHL-2009,CHL,2009,0.178
CHL-2011,CHL,2011,0.184
CHL-2013,CHL,2013,0.168
CHL-2015,CHL,2015,0.161
CHL-2017,CHL,2017,0.165
CHN-2011,CHN,2011,0.288
CRI-2010,CRI,2010,0.2
CRI-2011,CRI,2011,0.207
CRI-2012,CRI,2012,0.213
CRI-2013,CRI,2013,0.21
CRI-2014,CRI,2014,0.215
CRI-2015,CRI,2015,0.206
CRI-2016,CRI,2016,0.209
CRI-2017,CRI,2017,0.204
CRI-2018,CRI,2018,0.209
CRI-2019,CRI,2019,0.199
CRI-2020,CRI,2020,0.205
CZE-2004,CZE,2004,0.058
CZE-2005,CZE,2005,0.055
CZE-2006,CZE,2006,0.056
CZE-2007,CZE,2007,0.055
CZE-2008,CZE,2008,0.059
CZE-2009,CZE,2009,0.06
CZE-2010,CZE,2010,0.065
CZE-2011,CZE,2011,0.059
CZE-2012,CZE,2012,0.052
CZE-2013,CZE,2013,0.059
CZE-2014,CZE,2014,0.059
CZE-2015,CZE,2015,0.064
CZE-2016,CZE,2016,0.056
CZE-2017,CZE,2017,0.056
CZE-2018,CZE,2018,0.061
CZE-2019,CZE,2019,0.056
DEU-2008,DEU,2008,0.09
DEU-2011,DEU,2011,0.087
