LocationTime,LOCATION,TIME,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_MEN_PC_WKGPOP,employment_val_MEN_THND_PER,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,employment_val_WOMEN_PC_WKGPOP,employment_val_WOMEN_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val_MEASURED,obesity_val_SELFREPORTED,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val,Suicide_val_MEN,Suicide_val_TOT,Suicide_val_WOMEN,Alcohol_val
ARG-2004,ARG,2004.0,51.205463,16.711861,32.082676,,,,,,,,,,,,,,,,,,,,,,,,16.5,9.4,3.7,
ARG-2005,ARG,2005.0,50.157974,17.471054,32.370968,,,,,,,,,,,,,,,,,37.0,,,,,,,15.7,9.1,3.7,
ARG-2005,ARG,2005.0,50.157974,17.471054,32.370968,,,,,,,,,,,,,,,,,30.8,,,,,,,15.7,9.1,3.7,
ARG-2005,ARG,2005.0,50.157974,17.471054,32.370968,,,,,,,,,,,,,,,,,25.2,,,,,,,15.7,9.1,3.7,
ARG-2006,ARG,2006.0,48.472809,17.830963,33.696232,,,,,,,,,,,,,,,,,,,,,,,,16.1,8.9,3.2,
ARG-2008,ARG,2008.0,45.804825,18.973812,35.221363,,,,,,,,,,,,,,,,,,,,,,,,15.1,8.5,3.2,
ARG-2009,ARG,2009.0,44.794254,19.518599,35.687149,,,,,,,,,,,,,,,,,,,,,,,,13.9,7.9,3.0,
ARG-2010,ARG,2010.0,43.36871,20.111586,36.519707,,,,,,,,,,,,,,,,,34.2,,,,,,,14.1,7.9,2.9,8.2
ARG-2010,ARG,2010.0,43.36871,20.111586,36.519707,,,,,,,,,,,,,,,,,28.3,,,,,,,14.1,7.9,2.9,8.2
ARG-2010,ARG,2010.0,43.36871,20.111586,36.519707,,,,,,,,,,,,,,,,,22.8,,,,,,,14.1,7.9,2.9,8.2
ARG-2011,ARG,2011.0,42.753086,20.237337,37.009579,,,,,,,,,,,,,,,,,,,,,,,,13.3,7.6,2.8,7.7
ARG-2012,ARG,2012.0,41.416412,20.556126,38.027462,,,,,,,,,,,,,,,,,,,,,,,,14.8,8.4,3.1,8.0
ARG-2013,ARG,2013.0,40.635166,21.056189,38.308643,,,,,,,,,,,,,,,,,,,,,,,,13.1,7.6,2.8,8.3
ARG-2014,ARG,2014.0,41.248135,20.534544,38.217319,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.1,3.2,7.9
ARG-2017,ARG,2017.0,38.528397,21.406713,40.064892,,,,,,,,,,,,,,,,,,,,,,,,13.7,7.8,2.9,8.3
ARG-2018,ARG,2018.0,36.971165,21.924601,41.104233,,,,,,,,,,,,,,,,,30.3,,,,,,,14.2,8.0,2.7,8.0
ARG-2018,ARG,2018.0,36.971165,21.924601,41.104233,,,,,,,,,,,,,,,,,24.7,,,,,,,14.2,8.0,2.7,8.0
ARG-2018,ARG,2018.0,36.971165,21.924601,41.104233,,,,,,,,,,,,,,,,,19.5,,,,,,,14.2,8.0,2.7,8.0
ARG-2019,ARG,2019.0,35.771305,22.811752,41.416943,,,,,,,,,,,,,,,,,30.0,,,,,,,14.0,7.8,2.6,8.0
ARG-2019,ARG,2019.0,35.771305,22.811752,41.416943,,,,,,,,,,,,,,,,,24.3,,,,,,,14.0,7.8,2.6,8.0
ARG-2019,ARG,2019.0,35.771305,22.811752,41.416943,,,,,,,,,,,,,,,,,19.1,,,,,,,14.0,7.8,2.6,8.0
ARG-2020,ARG,2020.0,37.158802,22.400209,40.44099,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,
ARG-2020,ARG,2020.0,37.158802,22.400209,40.44099,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
ARG-2020,ARG,2020.0,37.158802,22.400209,40.44099,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,
AUS-1991,AUS,1991.0,44.127056,31.15881,24.714134,75.75577,4449.521,65.9215,7670.535,55.96263,3221.015,,,,,,,,,,,,1.204,14.306,4239.755,,,,22.6,13.9,5.9,10.1
AUS-1993,AUS,1993.0,47.159046,22.469191,30.371763,73.69975,4403.292,64.61858,7653.395,55.44041,3250.103,,,,,,,,,,,,1.397,15.545,4884.162,,,,20.0,12.1,4.7,10.2
AUS-1994,AUS,1994.0,49.802025,23.072365,27.12561,75.05529,4532.231,66.00251,7899.284,56.85906,3367.054,,,,,,,,,,,,1.419,15.271,4934.387,,,,22.3,13.3,4.9,10.0
AUS-1995,AUS,1995.0,44.935852,24.315445,30.748701,76.38482,4665.304,67.62838,8188.812,58.79062,3523.509,363.76933333333335,92.57766666666669,772.196,184.3613333333333,59.2,38.7,,,,,24.1,3.295,16.913,5614.113,15.995,19.071,,19.9,12.3,5.2,9.8
AUS-1995,AUS,1995.0,44.935852,24.315445,30.748701,76.38482,4665.304,67.62838,8188.812,58.79062,3523.509,363.76933333333335,92.57766666666669,772.196,184.3613333333333,59.2,38.7,,,,,26.3,3.295,16.913,5614.113,15.995,19.071,,19.9,12.3,5.2,9.8
AUS-1995,AUS,1995.0,44.935852,24.315445,30.748701,76.38482,4665.304,67.62838,8188.812,58.79062,3523.509,363.76933333333335,92.57766666666669,772.196,184.3613333333333,59.2,38.7,,,,,22.0,3.295,16.913,5614.113,15.995,19.071,,19.9,12.3,5.2,9.8
AUS-1997,AUS,1997.0,46.695274,24.30127,29.003454,75.84586,4742.123,67.36479,8366.658,58.84204,3624.535,,,,,,,,,,,,3.858,16.786,5920.537,15.924,19.517,,23.5,14.6,6.2,10.2
AUS-1998,AUS,1998.0,43.955959,25.420708,30.623333,76.17059,4812.578,67.80048,8517.424,59.40298,3704.846,,,,,,,,,,,22.1,3.538,17.61,6461.523,,,,23.2,14.2,5.7,10.0
AUS-1998,AUS,1998.0,43.955959,25.420708,30.623333,76.17059,4812.578,67.80048,8517.424,59.40298,3704.846,,,,,,,,,,,24.4,3.538,17.61,6461.523,,,,23.2,14.2,5.7,10.0
AUS-1998,AUS,1998.0,43.955959,25.420708,30.623333,76.17059,4812.578,67.80048,8517.424,59.40298,3704.846,,,,,,,,,,,19.8,3.538,17.61,6461.523,,,,23.2,14.2,5.7,10.0
