LocationTime,LOCATION,TIME,employment_val_MEN_PC_WKGPOP,employment_val_MEN_THND_PER,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,employment_val_WOMEN_PC_WKGPOP,employment_val_WOMEN_THND_PER
AUS-1990,AUS,1990,79.21233,4600.225,68.37136,7858.817,57.3747,3258.593
AUS-1990-01,AUS,1990,80.09801,4615.454,68.70767,7839.257,57.14748,3223.803
AUS-1990-02,AUS,1990,79.7151,4606.212,68.62899,7846.547,57.37808,3240.335
AUS-1990-03,AUS,1990,79.68172,4609.215,68.70557,7861.092,57.56665,3251.877
AUS-1990-04,AUS,1990,79.58195,4612.217,68.63134,7865.955,57.51962,3253.738
AUS-1990-05,AUS,1990,79.7403,4628.747,68.7661,7899.475,57.63171,3270.728
AUS-1990-06,AUS,1990,79.58903,4627.723,68.69697,7900.526,57.64714,3272.803
AUS-1990-07,AUS,1990,79.46982,4612.063,68.73712,7897.676,57.85086,3285.614
AUS-1990-08,AUS,1990,79.12626,4601.262,68.34457,7869.129,57.41051,3267.868
AUS-1990-09,AUS,1990,78.91396,4593.824,68.04224,7844.202,57.01871,3250.378
AUS-1990-10,AUS,1990,78.4592,4573.503,67.81065,7829.686,57.01431,3256.182
AUS-1990-11,AUS,1990,78.1406,4552.903,67.64494,7809.729,57.00454,3256.826
AUS-1990-12,AUS,1990,77.90832,4551.358,67.54989,7812.792,57.04939,3261.433
AUS-1990-Q1,AUS,1990,79.8316,4610.293,68.68075,7848.965,57.36407,3238.672
AUS-1990-Q2,AUS,1990,79.63709,4622.896,68.69814,7888.652,57.59949,3265.756
AUS-1990-Q3,AUS,1990,79.17001,4602.383,68.37464,7870.336,57.42669,3267.953
AUS-1990-Q4,AUS,1990,78.16937,4559.255,67.6685,7817.402,57.02274,3258.147
AUS-1991,AUS,1991,75.75577,4449.521,65.9215,7670.535,55.96263,3221.015
AUS-1991-01,AUS,1991,77.17892,4513.855,66.88942,7747.654,56.46077,3233.799
AUS-1991-02,AUS,1991,77.20518,4515.576,66.93732,7758.017,56.5325,3242.441
AUS-1991-03,AUS,1991,76.46227,4478.353,66.39882,7701.422,56.20298,3223.069
AUS-1991-04,AUS,1991,76.14043,4462.03,66.30268,7695.825,56.33699,3233.794
AUS-1991-05,AUS,1991,76.0461,4464.074,66.17596,7693.939,56.17896,3229.865
AUS-1991-06,AUS,1991,75.6705,4433.939,65.92112,7657.899,56.04784,3223.96
AUS-1991-07,AUS,1991,75.11092,4414.027,65.54337,7630.362,55.8552,3216.335
AUS-1991-08,AUS,1991,75.06091,4421.103,65.50352,7636.419,55.82715,3215.316
AUS-1991-09,AUS,1991,75.09772,4423.292,65.50365,7645.27,55.79156,3221.978
AUS-1991-10,AUS,1991,74.93986,4410.846,65.27076,7616.203,55.48434,3205.357
AUS-1991-11,AUS,1991,74.92257,4409.213,65.10767,7596.961,55.1753,3187.748
AUS-1991-12,AUS,1991,74.7133,4405.976,65.1459,7616.697,55.4656,3210.721
AUS-1991-Q1,AUS,1991,76.94879,4502.595,66.74185,7735.697,56.39875,3233.103
AUS-1991-Q2,AUS,1991,75.95235,4453.348,66.13326,7682.555,56.18793,3229.207
AUS-1991-Q3,AUS,1991,75.08985,4419.474,65.51685,7637.351,55.82463,3217.876
AUS-1991-Q4,AUS,1991,74.85858,4408.678,65.17477,7609.954,55.37508,3201.275
AUS-1992,AUS,1992,74.16051,4402.28,64.93269,7634.416,55.59902,3232.136
AUS-1992-01,AUS,1992,74.55741,4407.335,65.16179,7633.134,55.65532,3225.799
AUS-1992-02,AUS,1992,74.71336,4417.246,65.25954,7650.154,55.69419,3232.908
AUS-1992-03,AUS,1992,74.44642,4408.365,65.04161,7630.998,55.52584,3222.633
AUS-1992-04,AUS,1992,74.40273,4408.137,64.98443,7624.411,55.45581,3216.273
AUS-1992-05,AUS,1992,74.22678,4403.926,64.84059,7620.903,55.34518,3216.977
AUS-1992-06,AUS,1992,74.14812,4404.233,64.91149,7633.784,55.56816,3229.551
AUS-1992-07,AUS,1992,74.19135,4406.716,65.03429,7650.869,55.77216,3244.153
AUS-1992-08,AUS,1992,74.27052,4417.303,65.12865,7670.917,55.88255,3253.614
AUS-1992-09,AUS,1992,73.91399,4397.717,64.81419,7635.213,55.61135,3237.497
AUS-1992-10,AUS,1992,73.92696,4400.171,64.85935,7644.342,55.69045,3244.171
AUS-1992-11,AUS,1992,73.23161,4347.534,64.30671,7569.274,55.2835,3221.74
AUS-1992-12,AUS,1992,73.46172,4373.135,64.4774,7599.384,55.39548,3226.249
AUS-1992-Q1,AUS,1992,74.5724,4410.982,65.15432,7638.095,55.62511,3227.114
AUS-1992-Q2,AUS,1992,74.25921,4405.432,64.91217,7626.366,55.45639,3220.934
AUS-1992-Q3,AUS,1992,74.12529,4407.245,64.99238,7652.333,55.75535,3245.088
AUS-1992-Q4,AUS,1992,73.5401,4373.614,64.54782,7604.333,55.45648,3230.72
AUS-1993,AUS,1993,73.69975,4403.292,64.61858,7653.395,55.44041,3250.103
AUS-1993-01,AUS,1993,73.86811,4397.695,64.88361,7650.817,55.8015,3253.122
AUS-1993-02,AUS,1993,73.30394,4358.489,64.28397,7581.962,55.16617,3223.473
AUS-1993-03,AUS,1993,73.70546,4393.12,64.57362,7631.439,55.34273,3238.32
AUS-1993-04,AUS,1993,73.40511,4378.282,64.41882,7612.015,55.33477,3233.734
AUS-1993-05,AUS,1993,73.48106,4382.292,64.39526,7613.167,55.21034,3230.874
AUS-1993-06,AUS,1993,73.62987,4395.699,64.41399,7626.324,55.09728,3230.625
AUS-1993-07,AUS,1993,73.64501,4399.328,64.40511,7627.776,55.06509,3228.448
AUS-1993-08,AUS,1993,73.53156,4397.26,64.5164,7651.502,55.40459,3254.242
AUS-1993-09,AUS,1993,73.69308,4413.116,64.59995,7670.357,55.41033,3257.241
AUS-1993-10,AUS,1993,74.00706,4431.061,65.00546,7719.184,55.91008,3288.123
AUS-1993-11,AUS,1993,74.15241,4441.27,65.06998,7729.718,55.89455,3288.448
AUS-1993-12,AUS,1993,74.0931,4449.375,65.07036,7745.292,55.95693,3295.917
AUS-1993-Q1,AUS,1993,73.62583,4383.102,64.5804,7621.406,55.4368,3238.305
AUS-1993-Q2,AUS,1993,73.50535,4385.424,64.40936,7617.168,55.21413,3231.744
AUS-1993-Q3,AUS,1993,73.62321,4403.234,64.50715,7649.878,55.29334,3246.644
AUS-1993-Q4,AUS,1993,74.08419,4440.569,65.04861,7731.398,55.92052,3290.83
AUS-1994,AUS,1994,75.05529,4532.231,66.00251,7899.284,56.85906,3367.054
AUS-1994-01,AUS,1994,74.33435,4464.895,65.18911,7765.039,55.95124,3300.144
AUS-1994-02,AUS,1994,74.33143,4466.004,65.35069,7789.701,56.27826,3323.697
AUS-1994-03,AUS,1994,74.36941,4477.533,65.41136,7808.812,56.36119,3331.279
AUS-1994-04,AUS,1994,74.47736,4489.052,65.39571,7811.727,56.2211,3322.675
AUS-1994-05,AUS,1994,74.79745,4508.178,65.73091,7853.311,56.57191,3345.132
AUS-1994-06,AUS,1994,74.95893,4524.86,65.81177,7875.495,56.57176,3350.635
AUS-1994-07,AUS,1994,75.45509,4559.623,66.38143,7948.073,57.21647,3388.451
AUS-1994-08,AUS,1994,75.37033,4554.167,66.20645,7932.438,56.95116,3378.271
AUS-1994-09,AUS,1994,75.40666,4564.565,66.53621,7981.291,57.57807,3416.726
AUS-1994-10,AUS,1994,75.58123,4576.534,66.48807,7978.373,57.30588,3401.839
AUS-1994-11,AUS,1994,75.53704,4576.275,66.51875,7990.134,57.41315,3413.859
AUS-1994-12,AUS,1994,75.85052,4604.118,66.82977,8034.098,57.7225,3429.98
AUS-1994-Q1,AUS,1994,74.34506,4469.478,65.31705,7787.851,56.1969,3318.373
AUS-1994-Q2,AUS,1994,74.74458,4507.363,65.64613,7846.844,56.45493,3339.481
AUS-1994-Q3,AUS,1994,75.4107,4559.452,66.37469,7953.934,57.24857,3394.482
AUS-1994-Q4,AUS,1994,75.65627,4585.642,66.61219,8000.868,57.48051,3415.226
AUS-1995,AUS,1995,76.38482,4665.304,67.62838,8188.812,58.79062,3523.509
AUS-1995-01,AUS,1995,75.92138,4612.329,66.87961,8047.818,57.75091,3435.489
AUS-1995-02,AUS,1995,76.46973,4646.907,67.23298,8098.916,57.90727,3452.008
AUS-1995-03,AUS,1995,76.14139,4636.138,67.15333,8102.248,58.07846,3466.11
AUS-1995-04,AUS,1995,76.40424,4656.708,67.54637,8160.042,58.60338,3503.333
AUS-1995-05,AUS,1995,76.22216,4648.388,67.56718,8166.061,58.82941,3517.672
AUS-1995-06,AUS,1995,76.28175,4659.177,67.74843,8201.085,59.1339,3541.907
AUS-1995-07,AUS,1995,76.23363,4662.265,67.68896,8207.539,59.06396,3545.274
AUS-1995-08,AUS,1995,76.7566,4686.405,67.99154,8236.626,59.14506,3550.22
AUS-1995-09,AUS,1995,76.63516,4689.167,67.74722,8224.316,58.77775,3535.149
AUS-1995-10,AUS,1995,76.09931,4660.195,67.6151,8214.162,59.05539,3553.967
AUS-1995-11,AUS,1995,76.74442,4705.999,68.1218,8288.177,59.42483,3582.178
AUS-1995-12,AUS,1995,76.55645,4700.504,68.05592,8289.364,59.48439,3588.86
AUS-1995-Q1,AUS,1995,76.1775,4631.791,67.08864,8082.994,57.91222,3451.202
AUS-1995-Q2,AUS,1995,76.30272,4654.758,67.62066,8175.729,58.85556,3520.971
AUS-1995-Q3,AUS,1995,76.54179,4679.279,67.80924,8222.827,58.99559,3543.548
AUS-1995-Q4,AUS,1995,76.46673,4688.899,67.93095,8263.901,59.32153,3575.002
AUS-1996,AUS,1996,76.3037,4715.818,67.66373,8298.891,58.95956,3583.072
AUS-1996-01,AUS,1996,76.43105,4699.617,67.99738,8287.735,59.49401,3588.119
AUS-1996-02,AUS,1996,76.66028,4717.274,67.96925,8292.734,59.20714,3575.46
AUS-1996-03,AUS,1996,76.16317,4685.824,67.70006,8266.28,59.16853,3580.456
AUS-1996-04,AUS,1996,76.42274,4714.082,67.7961,8295.897,59.10031,3581.816
AUS-1996-05,AUS,1996,76.50904,4722.202,67.7883,8301.533,58.9982,3579.332
AUS-1996-06,AUS,1996,76.45743,4726.667,67.71807,8305.298,58.90982,3578.631
AUS-1996-07,AUS,1996,76.37363,4725.31,67.6555,8307.316,58.87119,3582.006
AUS-1996-08,AUS,1996,76.30495,4722.314,67.61669,8303.188,58.86503,3580.873
AUS-1996-09,AUS,1996,76.13516,4717.593,67.40908,8295.54,58.62185,3577.948
AUS-1996-10,AUS,1996,75.99993,4708.075,67.47276,8301.705,58.88899,3593.63
AUS-1996-11,AUS,1996,76.10374,4720.348,67.36472,8300.8,58.57084,3580.452
AUS-1996-12,AUS,1996,76.1241,4725.208,67.51221,8324.244,58.84943,3599.037
AUS-1996-Q1,AUS,1996,76.41817,4700.905,67.8889,8282.25,59.28989,3581.345
AUS-1996-Q2,AUS,1996,76.46307,4720.983,67.76749,8300.91,59.00278,3579.926
AUS-1996-Q3,AUS,1996,76.27125,4721.739,67.56042,8302.015,58.78603,3580.276
AUS-1996-Q4,AUS,1996,76.07593,4717.876,67.4499,8308.916,58.76976,3591.04
AUS-1997,AUS,1997,75.84586,4742.123,67.36479,8366.658,58.84204,3624.535
AUS-1997-01,AUS,1997,76.0255,4730.408,67.50938,8335.583,58.94413,3605.175
AUS-1997-02,AUS,1997,75.84113,4717.269,67.45544,8334.797,59.02257,3617.528
AUS-1997-03,AUS,1997,75.82995,4725.654,67.36854,8337.955,58.86071,3612.301
AUS-1997-04,AUS,1997,75.72684,4719.813,67.26845,8330.905,58.76484,3611.092
AUS-1997-05,AUS,1997,75.74684,4724.279,67.26305,8334.883,58.73504,3610.603
AUS-1997-06,AUS,1997,75.79687,4732.703,67.20784,8336.125,58.57523,3603.422
AUS-1997-07,AUS,1997,75.60599,4724.875,67.16695,8346.965,58.6865,3622.09
