LocationTime,LOCATION,TIME,employment_val_BUPPSRY_PC_25_64,employment_val_TRY_PC_25_64,employment_val_UPPSRY_NTRY_PC_25_64
ARG-2004,ARG,2004,65.440788,85.210709,69.934204
ARG-2005,ARG,2005,65.654251,85.825768,71.392929
ARG-2006,ARG,2006,66.444931,87.23188,72.27359
ARG-2008,ARG,2008,66.380959,86.456985,73.212509
ARG-2009,ARG,2009,65.853905,86.653343,73.349998
ARG-2010,ARG,2010,65.87809,87.174286,73.179993
ARG-2011,ARG,2011,67.032326,87.517441,73.927986
ARG-2012,ARG,2012,67.033287,87.057755,73.725998
ARG-2013,ARG,2013,65.990105,86.816681,74.106613
ARG-2014,ARG,2014,65.421463,86.7799,72.90107
ARG-2017,ARG,2017,65.319916,85.47583,73.76062
ARG-2018,ARG,2018,65.237976,86.179726,73.644089
ARG-2019,ARG,2019,64.698357,86.585098,73.143913
ARG-2020,ARG,2020,58.216255,82.458267,67.221558
AUS-1991,AUS,1991,52.844791,75.202911,74.981415
AUS-1993,AUS,1993,57.816246,82.031517,73.062935
AUS-1994,AUS,1994,59.492508,82.405853,74.588097
AUS-1995,AUS,1995,60.216778,83.269669,75.46154
AUS-1997,AUS,1997,59.477005,83.351204,76.053093
AUS-1998,AUS,1998,59.454018,83.751465,75.860077
AUS-1999,AUS,1999,59.088787,81.962997,76.193909
AUS-2000,AUS,2000,60.819241,82.878609,76.703751
AUS-2001,AUS,2001,59.895683,83.107796,78.041
AUS-2002,AUS,2002,60.002323,83.477089,77.834595
AUS-2003,AUS,2003,61.008137,83.229851,78.719017
AUS-2004,AUS,2004,60.640072,83.272232,78.756203
AUS-2005,AUS,2005,62.907692,84.412949,79.842407
AUS-2006,AUS,2006,63.472088,84.353523,80.391235
AUS-2007,AUS,2007,63.865177,84.823486,80.511581
AUS-2008,AUS,2008,61.529007,83.105896,80.865669
AUS-2009,AUS,2009,66.119377,84.255821,80.237244
AUS-2010,AUS,2010,65.07019,84.019539,80.467789
AUS-2011,AUS,2011,65.794937,84.305344,80.742584
AUS-2012,AUS,2012,66.24485,84.437431,80.493423
AUS-2013,AUS,2013,60.332756,83.484528,77.702675
AUS-2014,AUS,2014,59.668468,82.947945,77.342133
AUS-2015,AUS,2015,58.48666,83.097328,77.96656
AUS-2016,AUS,2016,58.07053,83.515259,78.176628
AUS-2017,AUS,2017,58.893112,83.951401,78.158249
AUS-2018,AUS,2018,60.128365,84.066086,77.335503
AUS-2019,AUS,2019,61.919876,84.568695,79.007721
AUS-2020,AUS,2020,56.469299,81.466423,74.49202
AUT-2004,AUT,2004,53.086536,81.182159,72.127136
AUT-2005,AUT,2005,53.223949,82.9729,72.82415
AUT-2006,AUT,2006,53.873268,84.034286,73.169075
AUT-2007,AUT,2007,56.105774,85.274979,74.221077
AUT-2008,AUT,2008,55.389305,85.311211,75.710861
AUT-2009,AUT,2009,54.014412,85.076073,75.334251
AUT-2010,AUT,2010,54.844025,84.857811,75.857109
AUT-2011,AUT,2011,55.126537,85.419113,75.619888
AUT-2012,AUT,2012,54.681053,86.004967,75.85466
AUT-2013,AUT,2013,54.057014,85.748413,76.202034
AUT-2014,AUT,2014,53.03339,85.321945,75.902626
AUT-2015,AUT,2015,52.858994,85.35099,75.731094
AUT-2016,AUT,2016,53.937981,86.212219,75.909683
AUT-2017,AUT,2017,54.064987,86.44706,76.641907
AUT-2018,AUT,2018,55.321404,86.282066,77.626114
AUT-2019,AUT,2019,55.563885,86.463249,78.067055
AUT-2020,AUT,2020,53.948326,86.016808,76.374619
BEL-1991,BEL,1991,48.616089,85.070267,75.237045
BEL-1992,BEL,1992,48.796589,84.933197,75.079285
BEL-1994,BEL,1994,47.749702,83.707924,72.841629
BEL-1995,BEL,1995,47.266621,83.713875,72.07476
BEL-2000,BEL,2000,50.519871,85.308243,75.092308
BEL-2001,BEL,2001,48.972729,84.477966,73.902603
BEL-2002,BEL,2002,48.756512,83.739975,73.819321
BEL-2003,BEL,2003,48.931946,83.600479,72.764198
BEL-2004,BEL,2004,48.780857,83.871811,73.063675
BEL-2005,BEL,2005,48.973824,84.186348,73.987434
BEL-2006,BEL,2006,48.991562,83.597969,73.192039
BEL-2007,BEL,2007,49.787991,84.898537,74.18573
BEL-2008,BEL,2008,49.431824,84.71759,74.738068
BEL-2009,BEL,2009,47.964371,84.222946,74.008049
BEL-2010,BEL,2010,48.907856,83.986328,74.490921
BEL-2011,BEL,2011,47.724239,84.19278,74.001999
BEL-2012,BEL,2012,47.566116,84.561577,73.492508
BEL-2013,BEL,2013,47.82542,84.14119,73.590157
