LocationTime,LOCATION,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY
ALB-2000,ALB,38.617,60.402,,61.383
ALB-2001,ALB,39.272,57.776,,60.728
ALB-2002,ALB,37.946,59.709,,62.054
ALB-2003,ALB,41.983,54.015,,58.017
ALB-2004,ALB,44.248,52.658,,55.752
ALB-2005,ALB,44.266,52.526,,55.734
ALB-2006,ALB,45.411,51.347,,54.589
ALB-2007,ALB,41.379,55.977,,58.621
ALB-2008,ALB,45.681,53.068,,54.319
ALB-2009,ALB,50.941,47.114,,49.059
ALB-2010,ALB,26.9435,24.7945,4.746,25.4295
ALB-2011,ALB,26.083000000000002,25.9595,4.795,26.3145
ALB-2012,ALB,25.707500000000003,26.4655,5.055,26.82
ALB-2013,ALB,25.4895,26.811,5.386,27.203
ALB-2014,ALB,25.087,27.508,5.503,27.6645
ALB-2015,ALB,29.515500000000003,22.701,4.896,22.932499999999997
ALB-2016,ALB,30.3275,21.909499999999998,4.916,22.130499999999998
ALB-2017,ALB,28.929,23.34,5.013,23.5775
ALB-2018,ALB,28.9625,23.457500000000003,5.229,23.652
ARG-2000,ARG,29.6175,15.748,8.22,24.4925
ARG-2001,ARG,29.733,15.971,8.372,24.453
ARG-2002,ARG,29.297,16.106,7.393,24.4
ARG-2003,ARG,29.2535,15.099,6.895,24.194000000000003
ARG-2004,ARG,27.784000000000002,14.8135,7.229,25.830499999999997
ARG-2005,ARG,27.6785,17.7925,7.611,26.127
ARG-2006,ARG,28.311999999999998,17.4435,7.64,25.508000000000003
ARG-2007,ARG,29.2945,16.8685,7.835,24.623
ARG-2008,ARG,29.8045,16.369,8.183,24.287
ARG-2009,ARG,32.8275,14.3315,9.456,21.9005
ARG-2010,ARG,32.28,14.655000000000001,9.445,22.443
ARG-2011,ARG,33.0395,14.713000000000001,9.418,21.6695
ARG-2012,ARG,34.332,14.3255,9.827,20.5815
ARG-2013,ARG,35.1515,14.72,9.781,19.739
ARG-2014,ARG,36.068000000000005,14.828500000000002,9.671,18.767500000000002
ARG-2015,ARG,36.925,14.292499999999999,10.229,18.1895
ARG-2016,ARG,34.016999999999996,16.1155,9.002,20.484
ARG-2017,ARG,35.1365,14.2695,10.442,20.084500000000002
ARG-2018,ARG,33.8345,15.205,9.666,20.999
ARG-2019,ARG,34.2795,15.144499999999999,9.51,20.4755
AUS-1990,AUS,280.8006666666667,72.06666666666666,586.364,143.44199999999998
AUS-1991,AUS,295.156,78.417,620.568,151.88899999999998
AUS-1992,AUS,309.9916666666667,84.08666666666666,656.182,160.79633333333334
AUS-1993,AUS,323.949,88.67566666666666,690.0245,169.40066666666667
AUS-1994,AUS,341.0713333333333,93.99466666666666,730.721,179.40966666666668
AUS-1995,AUS,363.76933333333335,92.57766666666667,772.196,184.3613333333333
AUS-1996,AUS,383.9443333333333,104.29466666666667,825.0145,199.39866666666668
AUS-1997,AUS,411.7436666666667,109.298,867.4309999999999,199.87733333333335
AUS-1998,AUS,439.7536666666667,136.62566666666666,923.222,209.061
AUS-1999,AUS,479.57366666666667,136.02133333333333,982.1105,208.5
AUS-2000,AUS,515.3246666666666,158.241,1080.446,238.306
AUS-2001,AUS,541.682,163.40133333333333,1149.1865,257.77566666666667
AUS-2002,AUS,592.222,171.904,1244.462,270.7526666666667
AUS-2003,AUS,609.409,171.47299999999998,1293.2959999999998,286.12166666666667
AUS-2004,AUS,666.6413333333334,187.46133333333333,1413.1135000000002,308.76733333333334
AUS-2005,AUS,679.5559999999999,195.148,1440.207,313.91533333333336
AUS-2006,AUS,706.8393333333333,204.36533333333333,1502.1885000000002,327.9533333333333
AUS-2007,AUS,764.207,209.52833333333334,1603.948,338.4243333333333
AUS-2008,AUS,795.4126666666667,219.51166666666668,1679.1989999999998,357.3866666666666
AUS-2009,AUS,814.547,223.95866666666666,1713.1925,360.91433333333333
