LocationTime,LOCATION,TIME,obesity_val_MEASURED,obesity_val_SELFREPORTED
AUS-1995,AUS,1995,59.2,38.7
AUS-2001,AUS,2001,,50.0
AUS-2004,AUS,2004,,53.5
AUS-2007,AUS,2007,61.2,56.0
AUS-2011,AUS,2011,63.4,
AUS-2014,AUS,2014,63.4,
AUS-2017,AUS,2017,65.2,47.6
AUT-1991,AUT,1991,,42.0
AUT-1999,AUT,1999,,46.1
AUT-2006,AUT,2006,,47.7
AUT-2014,AUT,2014,,46.7
AUT-2019,AUT,2019,,51.1
BEL-1997,BEL,1997,,41.3
BEL-2001,BEL,2001,,44.5
BEL-2004,BEL,2004,,44.1
BEL-2008,BEL,2008,,47.5
BEL-2013,BEL,2013,,48.1
BEL-2014,BEL,2014,51.0,
BEL-2018,BEL,2018,55.4,49.3
CAN-1994,CAN,1994,,48.6
CAN-1996,CAN,1996,,48.0
CAN-1998,CAN,1998,,50.6
CAN-2001,CAN,2001,,48.2
CAN-2003,CAN,2003,,49.4
CAN-2004,CAN,2004,56.8,
CAN-2005,CAN,2005,57.7,48.2
CAN-2007,CAN,2007,,49.1
CAN-2008,CAN,2008,60.0,49.5
CAN-2009,CAN,2009,,50.0
CAN-2010,CAN,2010,,50.6
CAN-2011,CAN,2011,60.4,50.5
CAN-2012,CAN,2012,,50.9
CAN-2013,CAN,2013,62.0,52.1
CAN-2014,CAN,2014,,52.5
CAN-2015,CAN,2015,64.2,52.4
CAN-2016,CAN,2016,,53.1
CAN-2017,CAN,2017,60.4,53.8
CAN-2018,CAN,2018,,53.8
CAN-2019,CAN,2019,59.8,54.2
CAN-2020,CAN,2020,,54.4
CHE-1992,CHE,1992,,30.3
CHE-1997,CHE,1997,,34.9
CHE-2002,CHE,2002,,37.1
CHE-2007,CHE,2007,,37.3
CHE-2012,CHE,2012,,41.0
CHE-2017,CHE,2017,,41.8
CHL-2000,CHL,2000,,33.6
CHL-2003,CHL,2003,62.3,
CHL-2006,CHL,2006,,47.4
CHL-2009,CHL,2009,64.5,55.5
CHL-2015,CHL,2015,,48.3
CHL-2016,CHL,2016,74.2,
CZE-1993,CZE,1993,,47.1
CZE-1996,CZE,1996,,45.8
CZE-1999,CZE,1999,,50.2
CZE-2000,CZE,2000,45.0,
CZE-2002,CZE,2002,,51.1
CZE-2005,CZE,2005,52.0,
CZE-2008,CZE,2008,56.0,55.1
CZE-2010,CZE,2010,55.0,
CZE-2014,CZE,2014,,55.4
CZE-2019,CZE,2019,,58.4
DEU-1998,DEU,1998,59.7,
DEU-1999,DEU,1999,,47.7
DEU-2003,DEU,2003,,49.2
DEU-2005,DEU,2005,,49.6
DEU-2009,DEU,2009,,51.4
DEU-2012,DEU,2012,60.0,
DEU-2013,DEU,2013,,52.4
DEU-2014,DEU,2014,,50.7
DEU-2017,DEU,2017,,52.7
DEU-2019,DEU,2019,,52.1
DNK-2000,DNK,2000,,41.7
DNK-2005,DNK,2005,,44.6
DNK-2010,DNK,2010,,46.7
DNK-2013,DNK,2013,,47.4
DNK-2017,DNK,2017,,51.0
ESP-1993,ESP,1993,,43.1
ESP-1995,ESP,1995,,44.4
ESP-1997,ESP,1997,,45.3
ESP-2001,ESP,2001,,48.3
ESP-2003,ESP,2003,,48.4
ESP-2006,ESP,2006,,51.1
ESP-2009,ESP,2009,,52.8
ESP-2011,ESP,2011,,52.7
ESP-2014,ESP,2014,,51.5
ESP-2017,ESP,2017,,53.0
ESP-2020,ESP,2020,,50.2
EST-1990,EST,1990,,57.6
EST-1992,EST,1992,,41.9
EST-1994,EST,1994,,43.9
EST-1996,EST,1996,,41.4
EST-1998,EST,1998,,40.8
EST-2000,EST,2000,,41.9
EST-2002,EST,2002,,42.6
EST-2004,EST,2004,,43.2
EST-2006,EST,2006,,46.5
EST-2008,EST,2008,,49.6
EST-2010,EST,2010,,48.6
EST-2012,EST,2012,,48.9
EST-2014,EST,2014,51.3,52.0
EST-2016,EST,2016,,51.7
EST-2018,EST,2018,,50.7
EST-2020,EST,2020,,51.6
FIN-1990,FIN,1990,,37.7
FIN-1991,FIN,1991,,38.4
FIN-1992,FIN,1992,,40.8
FIN-1993,FIN,1993,,39.1
FIN-1994,FIN,1994,,41.7
FIN-1995,FIN,1995,,44.1
FIN-1996,FIN,1996,,42.4
FIN-1997,FIN,1997,,42.4
FIN-1998,FIN,1998,,43.4
FIN-1999,FIN,1999,,42.5
FIN-2000,FIN,2000,63.6,43.4
FIN-2001,FIN,2001,,44.1
FIN-2002,FIN,2002,,45.3
FIN-2003,FIN,2003,,45.0
FIN-2004,FIN,2004,,45.3
FIN-2005,FIN,2005,,49.2
FIN-2006,FIN,2006,,47.7
FIN-2007,FIN,2007,,48.9
FIN-2008,FIN,2008,,48.8
FIN-2009,FIN,2009,,49.3
FIN-2010,FIN,2010,,49.7
FIN-2011,FIN,2011,65.0,50.8
FIN-2012,FIN,2012,58.0,49.4
FIN-2013,FIN,2013,,49.9
FIN-2014,FIN,2014,,52.1
FIN-2015,FIN,2015,,56.0
FIN-2016,FIN,2016,,56.0
FIN-2017,FIN,2017,67.6,57.0
FIN-2018,FIN,2018,,55.0
FIN-2019,FIN,2019,,57.0
FIN-2020,FIN,2020,,60.0
FRA-1990,FRA,1990,,29.7
FRA-1991,FRA,1991,,29.8
FRA-1992,FRA,1992,,30.9
FRA-1993,FRA,1993,,31.5
FRA-1994,FRA,1994,,30.5
FRA-1995,FRA,1995,,33.4
FRA-1996,FRA,1996,,35.2
FRA-1997,FRA,1997,,33.4
FRA-1998,FRA,1998,,34.4
FRA-2000,FRA,2000,,36.2
FRA-2002,FRA,2002,,37.5
FRA-2004,FRA,2004,,34.7
FRA-2006,FRA,2006,49.0,37.0
FRA-2008,FRA,2008,,39.2
FRA-2010,FRA,2010,,42.9
FRA-2012,FRA,2012,,44.4
FRA-2014,FRA,2014,,46.1
FRA-2015,FRA,2015,49.0,
