LocationTime,LOCATION,TIME,smoking_val
AUS-1992,AUS,1992,26.0
AUS-1995,AUS,1995,24.1
AUS-1998,AUS,1998,22.1
AUS-2001,AUS,2001,19.6
AUS-2004,AUS,2004,17.8
AUS-2007,AUS,2007,16.9
AUS-2010,AUS,2010,15.3
AUS-2013,AUS,2013,13.0
AUS-2016,AUS,2016,12.4
AUS-2019,AUS,2019,11.2
AUT-1997,AUT,1997,24.3
AUT-2006,AUT,2006,23.2
AUT-2014,AUT,2014,24.3
AUT-2019,AUT,2019,20.6
BEL-1997,BEL,1997,25.5
BEL-2001,BEL,2001,24.1
BEL-2004,BEL,2004,23.7
BEL-2008,BEL,2008,20.5
BEL-2013,BEL,2013,18.9
BEL-2018,BEL,2018,15.4
CAN-1990,CAN,1990,28.2
CAN-1991,CAN,1991,25.9
CAN-1994,CAN,1994,25.5
CAN-1996,CAN,1996,24.5
CAN-1998,CAN,1998,23.8
CAN-2001,CAN,2001,22.4
CAN-2003,CAN,2003,18.7
CAN-2005,CAN,2005,17.3
CAN-2007,CAN,2007,18.2
CAN-2008,CAN,2008,17.5
CAN-2009,CAN,2009,16.2
CAN-2010,CAN,2010,16.3
CAN-2011,CAN,2011,15.7
CAN-2012,CAN,2012,16.1
CAN-2013,CAN,2013,14.9
CAN-2014,CAN,2014,14.0
CAN-2015,CAN,2015,13.1
CAN-2016,CAN,2016,12.5
CAN-2017,CAN,2017,12.0
CAN-2018,CAN,2018,11.3
CAN-2019,CAN,2019,10.3
CAN-2020,CAN,2020,9.4
CZE-1993,CZE,1993,26.1
CZE-1996,CZE,1996,26.2
CZE-1999,CZE,1999,23.5
CZE-2002,CZE,2002,24.1
CZE-2003,CZE,2003,27.2
CZE-2004,CZE,2004,25.4
CZE-2005,CZE,2005,24.3
CZE-2006,CZE,2006,23.4
CZE-2007,CZE,2007,24.0
CZE-2008,CZE,2008,21.8
CZE-2009,CZE,2009,23.8
CZE-2010,CZE,2010,22.8
CZE-2011,CZE,2011,21.7
CZE-2012,CZE,2012,22.9
CZE-2013,CZE,2013,22.2
CZE-2014,CZE,2014,22.3
CZE-2015,CZE,2015,18.2
CZE-2016,CZE,2016,19.6
CZE-2017,CZE,2017,18.4
CZE-2018,CZE,2018,21.1
CZE-2019,CZE,2019,18.1
CZE-2020,CZE,2020,16.6
DNK-1990,DNK,1990,44.5
DNK-1991,DNK,1991,44.0
DNK-1992,DNK,1992,42.5
DNK-1993,DNK,1993,42.0
DNK-1994,DNK,1994,37.0
DNK-1995,DNK,1995,35.5
DNK-1996,DNK,1996,34.0
DNK-1997,DNK,1997,32.0
DNK-1998,DNK,1998,31.0
DNK-1999,DNK,1999,31.0
DNK-2000,DNK,2000,30.5
