LocationTime,LOCATION,TIME,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP
AUS-1990,AUS,1990,1.096,13.141,3928.253,,
AUS-1991,AUS,1991,1.204,14.306,4239.755,,
AUS-1992,AUS,1992,1.236,15.285,4659.895,,
AUS-1993,AUS,1993,1.397,15.545,4884.162,,
AUS-1994,AUS,1994,1.419,15.271,4934.387,,
AUS-1995,AUS,1995,3.295,16.913,5614.113,15.995,19.071
AUS-1996,AUS,1996,3.526,17.028,5805.342,,
AUS-1997,AUS,1997,3.858,16.786,5920.537,15.924,19.517
AUS-1998,AUS,1998,3.538,17.61,6461.523,,
AUS-1999,AUS,1999,4.025,17.239,6502.822,16.492,20.23
AUS-2000,AUS,2000,3.717,18.244,6934.889,,
AUS-2001,AUS,2001,4.01,17.539,6845.28,16.946,20.479
AUS-2002,AUS,2002,3.96,17.348,6893.75,,
AUS-2003,AUS,2003,3.486,17.546,7172.538,16.887,19.933
AUS-2004,AUS,2004,2.743,17.238,7194.949,,
AUS-2005,AUS,2005,2.846,16.694,7075.806,16.275,18.723
AUS-2006,AUS,2006,2.878,15.713,6823.445,,
AUS-2007,AUS,2007,5.18,15.873,7015.665,15.611,20.122
AUS-2008,AUS,2008,4.437,17.051,7529.935,,
AUS-2009,AUS,2009,4.324,16.869,7448.41,16.622,20.378
AUS-2010,AUS,2010,4.336,16.561,7377.086,,
AUS-2011,AUS,2011,4.624,17.015,7767.754,16.805,20.852
AUS-2012,AUS,2012,4.843,17.302,7962.334,,
AUS-2013,AUS,2013,5.42,17.247,7999.652,16.999,21.81
AUS-2014,AUS,2014,5.999,17.78,8302.617,,
AUS-2015,AUS,2015,6.193,18.148,8584.749,18.003,23.496
AUS-2016,AUS,2016,6.361,17.408,8298.928,,
AUS-2017,AUS,2017,6.565,16.71,8063.4,16.624,22.48
AUT-1990,AUT,1990,2.188,23.149,8187.938,,
AUT-1991,AUT,1991,2.179,23.47,8502.015,,
AUT-1992,AUT,1992,2.189,24.158,8836.443,,
AUT-1993,AUT,1993,2.174,25.471,9289.024,,
AUT-1994,AUT,1994,2.114,26.324,9793.055,,
AUT-1995,AUT,1995,2.056,26.276,10020.406,21.487,22.992
AUT-1996,AUT,1996,1.988,26.399,10290.137,,
AUT-1997,AUT,1997,1.951,25.854,10277.127,20.845,22.257
AUT-1998,AUT,1998,1.915,25.632,10542.137,,
AUT-1999,AUT,1999,2.016,25.954,11032.558,20.915,22.338
AUT-2000,AUT,2000,2.103,25.688,11260.88,,
AUT-2001,AUT,2001,2.031,25.751,11387.954,20.59,22.076
AUT-2002,AUT,2002,1.991,26.047,11651.415,,
AUT-2003,AUT,2003,1.996,26.584,11950.259,21.403,22.9
AUT-2004,AUT,2004,1.992,26.329,12083.068,,
AUT-2005,AUT,2005,1.979,25.952,12094.734,21.073,22.559
AUT-2006,AUT,2006,1.976,25.665,12310.184,,
AUT-2007,AUT,2007,2.043,25.086,12440.156,20.55,22.092
AUT-2008,AUT,2008,2.122,25.516,12797.534,,
AUT-2009,AUT,2009,2.21,27.467,13225.518,22.674,24.402
AUT-2010,AUT,2010,2.167,27.563,13484.027,,
AUT-2011,AUT,2011,2.16,26.744,13421.883,22.054,23.643
AUT-2012,AUT,2012,2.157,27.11,13636.438,,
AUT-2013,AUT,2013,2.211,27.517,13761.584,22.454,24.175
