LocationTime,LOCATION,TIME,Social_spt_val
AUS-2010,AUS,2010,92.9383337497711
AUS-2011,AUS,2011,92.9383337497711
AUS-2012,AUS,2012,92.9383337497711
AUS-2013,AUS,2013,92.9383337497711
AUS-2014,AUS,2014,92.9383337497711
AUS-2015,AUS,2015,92.9383337497711
AUS-2016,AUS,2016,92.9383337497711
AUS-2017,AUS,2017,92.9383337497711
AUS-2018,AUS,2018,92.9383337497711
AUS-2019,AUS,2019,92.9383337497711
AUS-2020,AUS,2020,92.9383337497711
AUT-2010,AUT,2010,90.1502728462219
AUT-2011,AUT,2011,90.1502728462219
AUT-2012,AUT,2012,90.1502728462219
AUT-2013,AUT,2013,90.1502728462219
AUT-2014,AUT,2014,90.1502728462219
AUT-2015,AUT,2015,90.1502728462219
AUT-2016,AUT,2016,90.1502728462219
AUT-2017,AUT,2017,90.1502728462219
AUT-2018,AUT,2018,90.1502728462219
AUT-2019,AUT,2019,90.1502728462219
AUT-2020,AUT,2020,90.1502728462219
BEL-2010,BEL,2010,90.1919364929199
BEL-2011,BEL,2011,90.1919364929199
BEL-2012,BEL,2012,90.1919364929199
BEL-2013,BEL,2013,90.1919364929199
BEL-2014,BEL,2014,90.1919364929199
BEL-2015,BEL,2015,90.1919364929199
BEL-2016,BEL,2016,90.1919364929199
BEL-2017,BEL,2017,90.1919364929199
BEL-2018,BEL,2018,90.1919364929199
BEL-2019,BEL,2019,90.1919364929199
BEL-2020,BEL,2020,90.1919364929199
CAN-2010,CAN,2010,92.0710980892181
CAN-2011,CAN,2011,92.0710980892181
CAN-2012,CAN,2012,92.0710980892181
CAN-2013,CAN,2013,92.0710980892181
CAN-2014,CAN,2014,92.0710980892181
CAN-2015,CAN,2015,92.0710980892181
CAN-2016,CAN,2016,92.0710980892181
CAN-2017,CAN,2017,92.0710980892181
CAN-2018,CAN,2018,92.0710980892181
CAN-2019,CAN,2019,92.0710980892181
CAN-2020,CAN,2020,92.0710980892181
CZE-2010,CZE,2010,87.7902388572693
CZE-2011,CZE,2011,87.7902388572693
CZE-2012,CZE,2012,87.7902388572693
CZE-2013,CZE,2013,87.7902388572693
CZE-2014,CZE,2014,87.7902388572693
CZE-2015,CZE,2015,87.7902388572693
CZE-2016,CZE,2016,87.7902388572693
CZE-2017,CZE,2017,87.7902388572693
CZE-2018,CZE,2018,87.7902388572693
CZE-2020,CZE,2020,87.7902388572693
DNK-2010,DNK,2010,93.6440289020538
DNK-2011,DNK,2011,93.6440289020538
DNK-2012,DNK,2012,93.6440289020538
DNK-2013,DNK,2013,93.6440289020538
DNK-2014,DNK,2014,93.6440289020538
DNK-2015,DNK,2015,93.6440289020538
DNK-2016,DNK,2016,93.6440289020538
DNK-2017,DNK,2017,93.6440289020538
DNK-2018,DNK,2018,93.6440289020538
DNK-2019,DNK,2019,93.6440289020538
DNK-2020,DNK,2020,93.6440289020538
FIN-2010,FIN,2010,91.6408598423004
FIN-2011,FIN,2011,91.6408598423004
FIN-2012,FIN,2012,91.6408598423004
FIN-2013,FIN,2013,91.6408598423004
FIN-2014,FIN,2014,91.6408598423004
FIN-2015,FIN,2015,91.6408598423004
FIN-2016,FIN,2016,91.6408598423004
FIN-2017,FIN,2017,91.6408598423004
FIN-2018,FIN,2018,91.6408598423004
FIN-2019,FIN,2019,91.6408598423004
FIN-2020,FIN,2020,91.6408598423004
FRA-2010,FRA,2010,90.573662519455
FRA-2011,FRA,2011,90.573662519455
FRA-2012,FRA,2012,90.573662519455
FRA-2013,FRA,2013,90.573662519455
FRA-2014,FRA,2014,90.573662519455
FRA-2015,FRA,2015,90.573662519455
FRA-2016,FRA,2016,90.573662519455
FRA-2017,FRA,2017,90.573662519455
FRA-2018,FRA,2018,90.573662519455
FRA-2019,FRA,2019,90.573662519455
FRA-2020,FRA,2020,90.573662519455
DEU-2010,DEU,2010,88.8864040374756
DEU-2011,DEU,2011,88.8864040374756
DEU-2012,DEU,2012,88.8864040374756
DEU-2013,DEU,2013,88.8864040374756
DEU-2014,DEU,2014,88.8864040374756
DEU-2015,DEU,2015,88.8864040374756
DEU-2016,DEU,2016,88.8864040374756
DEU-2017,DEU,2017,88.8864040374756
DEU-2018,DEU,2018,88.8864040374756
DEU-2019,DEU,2019,88.8864040374756
DEU-2020,DEU,2020,88.8864040374756
GRC-2010,GRC,2010,74.7628271579742
GRC-2011,GRC,2011,74.7628271579742
GRC-2012,GRC,2012,74.7628271579742
GRC-2013,GRC,2013,74.7628271579742
GRC-2014,GRC,2014,74.7628271579742
GRC-2015,GRC,2015,74.7628271579742
GRC-2016,GRC,2016,74.7628271579742
GRC-2017,GRC,2017,74.7628271579742
GRC-2018,GRC,2018,74.7628271579742
GRC-2019,GRC,2019,74.7628271579742
GRC-2020,GRC,2020,74.7628271579742
HUN-2010,HUN,2010,87.8784120082855
HUN-2011,HUN,2011,87.8784120082855
HUN-2012,HUN,2012,87.8784120082855
HUN-2013,HUN,2013,87.8784120082855
HUN-2014,HUN,2014,87.8784120082855
HUN-2015,HUN,2015,87.8784120082855
HUN-2016,HUN,2016,87.8784120082855
HUN-2017,HUN,2017,87.8784120082855
HUN-2018,HUN,2018,87.8784120082855
HUN-2019,HUN,2019,87.8784120082855
HUN-2020,HUN,2020,87.8784120082855
ISL-2012,ISL,2012,96.4504241943359
ISL-2013,ISL,2013,96.4504241943359
ISL-2015,ISL,2015,96.4504241943359
ISL-2016,ISL,2016,96.4504241943359
ISL-2017,ISL,2017,96.4504241943359
ISL-2019,ISL,2019,96.4504241943359
ISL-2020,ISL,2020,96.4504241943359
IRL-2010,IRL,2010,94.7017252445221
IRL-2011,IRL,2011,94.7017252445221
IRL-2012,IRL,2012,94.7017252445221
IRL-2013,IRL,2013,94.7017252445221
IRL-2014,IRL,2014,94.7017252445221
IRL-2015,IRL,2015,94.7017252445221
IRL-2016,IRL,2016,94.7017252445221
IRL-2017,IRL,2017,94.7017252445221
IRL-2018,IRL,2018,94.7017252445221
IRL-2019,IRL,2019,94.7017252445221
IRL-2020,IRL,2020,94.7017252445221
ITA-2010,ITA,2010,86.8480443954468
ITA-2011,ITA,2011,86.8480443954468
ITA-2012,ITA,2012,86.8480443954468
ITA-2013,ITA,2013,86.8480443954468
ITA-2014,ITA,2014,86.8480443954468
ITA-2015,ITA,2015,86.8480443954468
ITA-2016,ITA,2016,86.8480443954468
ITA-2017,ITA,2017,86.8480443954468
ITA-2018,ITA,2018,86.8480443954468
ITA-2019,ITA,2019,86.8480443954468
ITA-2020,ITA,2020,86.8480443954468
JPN-2010,JPN,2010,87.9628539085388
JPN-2011,JPN,2011,87.9628539085388
JPN-2012,JPN,2012,87.9628539085388
JPN-2013,JPN,2013,87.9628539085388
JPN-2014,JPN,2014,87.9628539085388
JPN-2015,JPN,2015,87.9628539085388
JPN-2016,JPN,2016,87.9628539085388
JPN-2017,JPN,2017,87.9628539085388
JPN-2018,JPN,2018,87.9628539085388
JPN-2019,JPN,2019,87.9628539085388
JPN-2020,JPN,2020,87.9628539085388
KOR-2010,KOR,2010,63.7700080871582
KOR-2011,KOR,2011,63.7700080871582
KOR-2012,KOR,2012,63.7700080871582
KOR-2013,KOR,2013,63.7700080871582
KOR-2014,KOR,2014,63.7700080871582
KOR-2015,KOR,2015,63.7700080871582
KOR-2016,KOR,2016,63.7700080871582
KOR-2017,KOR,2017,63.7700080871582
KOR-2018,KOR,2018,63.7700080871582
KOR-2019,KOR,2019,63.7700080871582
KOR-2020,KOR,2020,63.7700080871582
LUX-2010,LUX,2010,90.7367706298828
LUX-2011,LUX,2011,90.7367706298828
LUX-2012,LUX,2012,90.7367706298828
LUX-2013,LUX,2013,90.7367706298828
LUX-2014,LUX,2014,90.7367706298828
LUX-2015,LUX,2015,90.7367706298828
LUX-2016,LUX,2016,90.7367706298828
LUX-2017,LUX,2017,90.7367706298828
LUX-2018,LUX,2018,90.7367706298828
LUX-2019,LUX,2019,90.7367706298828
MEX-2010,MEX,2010,78.7085056304932
MEX-2011,MEX,2011,78.7085056304932
MEX-2012,MEX,2012,78.7085056304932
MEX-2013,MEX,2013,78.7085056304932
MEX-2014,MEX,2014,78.7085056304932
MEX-2015,MEX,2015,78.7085056304932
MEX-2016,MEX,2016,78.7085056304932
MEX-2017,MEX,2017,78.7085056304932
MEX-2018,MEX,2018,78.7085056304932
MEX-2019,MEX,2019,78.7085056304932
MEX-2020,MEX,2020,78.7085056304932
NLD-2010,NLD,2010,89.056122303009
NLD-2011,NLD,2011,89.056122303009
NLD-2012,NLD,2012,89.056122303009
NLD-2013,NLD,2013,89.056122303009
NLD-2014,NLD,2014,89.056122303009
NLD-2015,NLD,2015,89.056122303009
NLD-2016,NLD,2016,89.056122303009
