LocationTime,LOCATION,TIME,Suicide_val_MEN,Suicide_val_TOT,Suicide_val_WOMEN
ARG-1990,ARG,1990,15.3,9.3,4.6
ARG-1991,ARG,1991,13.8,8.2,3.8
ARG-1992,ARG,1992,15.8,9.0,3.7
ARG-1993,ARG,1993,16.8,9.3,3.6
ARG-1994,ARG,1994,15.4,8.7,3.5
ARG-1995,ARG,1995,14.8,8.4,3.4
ARG-1996,ARG,1996,14.6,8.4,3.6
ARG-1997,ARG,1997,14.0,8.1,3.6
ARG-1998,ARG,1998,14.7,8.4,3.4
ARG-1999,ARG,1999,15.2,8.4,3.1
ARG-2000,ARG,2000,17.2,9.4,3.4
ARG-2001,ARG,2001,18.3,10.3,4.0
ARG-2002,ARG,2002,17.3,10.1,4.2
ARG-2003,ARG,2003,18.2,10.3,4.0
ARG-2004,ARG,2004,16.5,9.4,3.7
ARG-2005,ARG,2005,15.7,9.1,3.7
ARG-2006,ARG,2006,16.1,8.9,3.2
ARG-2007,ARG,2007,14.8,8.3,3.1
ARG-2008,ARG,2008,15.1,8.5,3.2
ARG-2009,ARG,2009,13.9,7.9,3.0
ARG-2010,ARG,2010,14.1,7.9,2.9
ARG-2011,ARG,2011,13.3,7.6,2.8
ARG-2012,ARG,2012,14.8,8.4,3.1
ARG-2013,ARG,2013,13.1,7.6,2.8
ARG-2014,ARG,2014,14.0,8.1,3.2
ARG-2015,ARG,2015,14.0,7.9,2.9
ARG-2016,ARG,2016,13.6,7.6,2.6
ARG-2017,ARG,2017,13.7,7.8,2.9
ARG-2018,ARG,2018,14.2,8.0,2.7
ARG-2019,ARG,2019,14.0,7.8,2.6
AUS-1990,AUS,1990,22.3,13.6,5.5
AUS-1991,AUS,1991,22.6,13.9,5.9
AUS-1992,AUS,1992,21.7,13.5,5.7
AUS-1993,AUS,1993,20.0,12.1,4.7
AUS-1994,AUS,1994,22.3,13.3,4.9
AUS-1995,AUS,1995,19.9,12.3,5.2
AUS-1996,AUS,1996,22.7,13.6,5.1
AUS-1997,AUS,1997,23.5,14.6,6.2
AUS-1998,AUS,1998,23.2,14.2,5.7
AUS-1999,AUS,1999,22.2,13.4,5.2
AUS-2000,AUS,2000,20.6,12.7,5.3
AUS-2001,AUS,2001,20.8,12.9,5.4
AUS-2002,AUS,2002,19.1,12.0,5.2
AUS-2003,AUS,2003,17.6,11.0,4.8
AUS-2004,AUS,2004,17.5,10.7,4.4
AUS-2006,AUS,2006,16.7,10.6,4.9
AUS-2007,AUS,2007,16.7,10.7,5.1
AUS-2008,AUS,2008,17.7,11.1,4.7
AUS-2009,AUS,2009,16.9,10.8,5.1
AUS-2010,AUS,2010,17.3,11.0,4.9
AUS-2011,AUS,2011,16.8,10.9,5.2
AUS-2012,AUS,2012,17.7,11.5,5.7
AUS-2013,AUS,2013,17.5,11.5,5.8
AUS-2014,AUS,2014,19.5,12.6,6.1
AUS-2015,AUS,2015,20.3,13.2,6.4
AUS-2016,AUS,2016,18.6,12.2,6.1
AUS-2017,AUS,2017,20.6,13.6,6.8
AUS-2018,AUS,2018,20.1,13.0,6.1
AUS-2019,AUS,2019,20.4,13.3,6.4
AUS-2020,AUS,2020,19.2,12.4,5.9
AUT-1990,AUT,1990,39.6,24.7,13.4
AUT-1991,AUT,1991,39.8,23.6,11.6
AUT-1992,AUT,1992,38.9,23.4,11.8
AUT-1993,AUT,1993,38.0,22.4,11.0
AUT-1994,AUT,1994,38.2,23.2,11.8
AUT-1995,AUT,1995,39.0,23.1,10.8
AUT-1996,AUT,1996,39.7,23.1,10.5
AUT-1997,AUT,1997,34.1,20.4,9.8
AUT-1998,AUT,1998,34.6,20.1,9.0
AUT-1999,AUT,1999,32.3,19.9,10.1
AUT-2000,AUT,2000,33.1,20.1,10.1
AUT-2001,AUT,2001,30.2,18.6,9.3
AUT-2002,AUT,2002,33.4,19.2,8.3
AUT-2003,AUT,2003,30.1,18.0,8.8
AUT-2004,AUT,2004,29.9,17.3,7.7
AUT-2005,AUT,2005,28.2,16.8,7.7
AUT-2006,AUT,2006,26.0,15.2,6.4
AUT-2007,AUT,2007,25.2,15.1,6.8
AUT-2008,AUT,2008,24.7,14.6,6.5
AUT-2009,AUT,2009,24.6,14.6,6.5
AUT-2010,AUT,2010,24.2,14.4,6.3
AUT-2011,AUT,2011,24.2,14.6,6.7
AUT-2012,AUT,2012,24.0,14.2,6.0
