LocationTime,LOCATION,INDICATOR,TIME,Value
AUS-1991,AUS,EDUADULT,1991,44.127056
AUS-1993,AUS,EDUADULT,1993,47.159046
AUS-1994,AUS,EDUADULT,1994,49.802025
AUS-1995,AUS,EDUADULT,1995,44.935852
AUS-1997,AUS,EDUADULT,1997,46.695274
AUS-1998,AUS,EDUADULT,1998,43.955959
AUS-1999,AUS,EDUADULT,1999,42.610085
AUS-2000,AUS,EDUADULT,2000,41.212311
AUS-2001,AUS,EDUADULT,2001,41.076141
AUS-2002,AUS,EDUADULT,2002,39.050316
AUS-2003,AUS,EDUADULT,2003,37.519817
AUS-2004,AUS,EDUADULT,2004,35.879036
AUS-2005,AUS,EDUADULT,2005,34.967968
AUS-2006,AUS,EDUADULT,2006,33.289845
AUS-2007,AUS,EDUADULT,2007,31.816732
AUS-2008,AUS,EDUADULT,2008,30.064018
AUS-2009,AUS,EDUADULT,2009,28.972523
AUS-2010,AUS,EDUADULT,2010,26.792744
AUS-2011,AUS,EDUADULT,2011,25.922543
AUS-2012,AUS,EDUADULT,2012,23.563389
AUS-2013,AUS,EDUADULT,2013,24.28443
AUS-2014,AUS,EDUADULT,2014,22.895836
AUS-2015,AUS,EDUADULT,2015,20.980896
AUS-2016,AUS,EDUADULT,2016,20.067352
AUS-2017,AUS,EDUADULT,2017,19.012659
AUS-2018,AUS,EDUADULT,2018,18.108641
AUS-2019,AUS,EDUADULT,2019,17.132658
AUS-2020,AUS,EDUADULT,2020,16.244976
AUS-1991,AUS,EDUADULT,1991,31.15881
AUS-1993,AUS,EDUADULT,1993,22.469191
AUS-1994,AUS,EDUADULT,1994,23.072365
AUS-1995,AUS,EDUADULT,1995,24.315445
AUS-1997,AUS,EDUADULT,1997,24.30127
AUS-1998,AUS,EDUADULT,1998,25.420708
AUS-1999,AUS,EDUADULT,1999,26.693399
AUS-2000,AUS,EDUADULT,2000,27.475746
AUS-2001,AUS,EDUADULT,2001,28.977322
AUS-2002,AUS,EDUADULT,2002,30.759785
AUS-2003,AUS,EDUADULT,2003,31.314152
AUS-2004,AUS,EDUADULT,2004,30.82308
AUS-2005,AUS,EDUADULT,2005,31.691153
AUS-2006,AUS,EDUADULT,2006,33.022213
AUS-2007,AUS,EDUADULT,2007,33.73671
AUS-2008,AUS,EDUADULT,2008,36.149986
AUS-2009,AUS,EDUADULT,2009,36.881355
AUS-2010,AUS,EDUADULT,2010,37.604309
AUS-2011,AUS,EDUADULT,2011,38.342072
AUS-2012,AUS,EDUADULT,2012,41.282364
AUS-2013,AUS,EDUADULT,2013,39.539928
AUS-2014,AUS,EDUADULT,2014,41.901855
AUS-2015,AUS,EDUADULT,2015,42.888756
AUS-2016,AUS,EDUADULT,2016,43.7439
AUS-2017,AUS,EDUADULT,2017,45.355675
AUS-2018,AUS,EDUADULT,2018,45.727478
AUS-2019,AUS,EDUADULT,2019,47.129978
AUS-2020,AUS,EDUADULT,2020,49.337452
AUS-1991,AUS,EDUADULT,1991,24.714134
AUS-1993,AUS,EDUADULT,1993,30.371763
AUS-1994,AUS,EDUADULT,1994,27.12561
AUS-1995,AUS,EDUADULT,1995,30.748701
AUS-1997,AUS,EDUADULT,1997,29.003454
AUS-1998,AUS,EDUADULT,1998,30.623333
AUS-1999,AUS,EDUADULT,1999,30.696516
AUS-2000,AUS,EDUADULT,2000,31.311945
AUS-2001,AUS,EDUADULT,2001,29.946537
AUS-2002,AUS,EDUADULT,2002,30.189898
AUS-2003,AUS,EDUADULT,2003,31.166031
AUS-2004,AUS,EDUADULT,2004,33.297886
AUS-2005,AUS,EDUADULT,2005,33.340881
AUS-2006,AUS,EDUADULT,2006,33.687943
AUS-2007,AUS,EDUADULT,2007,34.44656
AUS-2008,AUS,EDUADULT,2008,33.785992
AUS-2009,AUS,EDUADULT,2009,34.146122
AUS-2010,AUS,EDUADULT,2010,35.602947
AUS-2011,AUS,EDUADULT,2011,35.735386
AUS-2012,AUS,EDUADULT,2012,35.154247
AUS-2013,AUS,EDUADULT,2013,36.17564
AUS-2014,AUS,EDUADULT,2014,35.202309
AUS-2015,AUS,EDUADULT,2015,36.130348
AUS-2016,AUS,EDUADULT,2016,36.188747
AUS-2017,AUS,EDUADULT,2017,35.631668
AUS-2018,AUS,EDUADULT,2018,36.163879
AUS-2019,AUS,EDUADULT,2019,35.737366
AUS-2020,AUS,EDUADULT,2020,34.417572
AUT-2004,AUT,EDUADULT,2004,23.66626
AUT-2005,AUT,EDUADULT,2005,23.055067
AUT-2006,AUT,EDUADULT,2006,19.871609
AUT-2007,AUT,EDUADULT,2007,20.062889
AUT-2008,AUT,EDUADULT,2008,19.120087
AUT-2009,AUT,EDUADULT,2009,18.354979
AUT-2010,AUT,EDUADULT,2010,17.647495
AUT-2011,AUT,EDUADULT,2011,17.636829
AUT-2012,AUT,EDUADULT,2012,17.08353
AUT-2013,AUT,EDUADULT,2013,17.028002
AUT-2014,AUT,EDUADULT,2014,16.143999
AUT-2015,AUT,EDUADULT,2015,15.351305
AUT-2016,AUT,EDUADULT,2016,15.471591
AUT-2017,AUT,EDUADULT,2017,15.037577
AUT-2018,AUT,EDUADULT,2018,14.702526
AUT-2019,AUT,EDUADULT,2019,14.435863
AUT-2020,AUT,EDUADULT,2020,14.341329
AUT-2004,AUT,EDUADULT,2004,24.783438
AUT-2005,AUT,EDUADULT,2005,24.639351
AUT-2006,AUT,EDUADULT,2006,25.356432
AUT-2007,AUT,EDUADULT,2007,25.092672
AUT-2008,AUT,EDUADULT,2008,26.191858
AUT-2009,AUT,EDUADULT,2009,26.895824
AUT-2010,AUT,EDUADULT,2010,27.743721
AUT-2011,AUT,EDUADULT,2011,27.956152
AUT-2012,AUT,EDUADULT,2012,28.739943
AUT-2013,AUT,EDUADULT,2013,29.738844
AUT-2014,AUT,EDUADULT,2014,29.904896
AUT-2015,AUT,EDUADULT,2015,30.550726
AUT-2016,AUT,EDUADULT,2016,31.383963
AUT-2017,AUT,EDUADULT,2017,32.39439
AUT-2018,AUT,EDUADULT,2018,32.711426
AUT-2019,AUT,EDUADULT,2019,33.773777
AUT-2020,AUT,EDUADULT,2020,34.205894
AUT-2004,AUT,EDUADULT,2004,51.550304
AUT-2005,AUT,EDUADULT,2005,52.305584
AUT-2006,AUT,EDUADULT,2006,54.771961
AUT-2007,AUT,EDUADULT,2007,54.844437
AUT-2008,AUT,EDUADULT,2008,54.688057
