LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val,Work_Hour_Value_TOT
ARG-1990,9,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1991,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1992,9,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1993,9,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1994,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1995,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1996,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1997,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1998,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-1999,8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
ARG-2000,9,0,0,0.0,0.0,0.0,0,29.6175,15.748,8.22,24.4925,0.0,0.0,0.0,0.0,0,39.8,0.0,0.0,0.0,0.0,0,0,0
