LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Pov_Val,Smoking_Val,Soc_Spend_Val,Soc_Sup_Val,Work_Hour_Val
ARG-1990,9,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1991,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1992,9,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1993,9,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1994,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1995,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1996,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1997,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1998,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-1999,8,9,29,28,16354,212,48,0,22,3,87,1753
ARG-2000,9,9,29,28,16354,24,48,0,39,3,87,1753
ARG-2001,10,9,29,28,16354,24,48,0,22,3,87,1753
ARG-2002,10,9,29,28,16354,24,48,0,22,3,87,1753
ARG-2003,10,9,29,28,16354,24,48,0,22,3,87,1753
ARG-2004,9,9,51,16,16354,25,48,0,22,3,87,1753
ARG-2005,9,9,50,17,16354,26,48,0,37,3,87,1753
ARG-2006,8,9,48,17,16354,25,48,0,22,3,87,1753
ARG-2007,8,9,29,28,16354,24,48,0,22,3,87,1753
ARG-2008,8,9,45,19,16354,24,48,0,22,3,87,1753
ARG-2009,7,9,44,19,16354,21,48,0,22,3,87,1753
ARG-2010,7,8,43,20,16354,22,48,0,34,3,87,1753
ARG-2011,7,7,42,20,16354,21,48,0,22,3,87,1753
ARG-2012,8,8,41,20,16354,20,48,0,22,3,87,1753
ARG-2013,7,8,40,21,16354,19,48,0,22,3,87,1753
ARG-2014,8,7,41,20,16354,18,48,0,22,3,87,1753
ARG-2015,7,8,29,28,16354,18,48,0,31,3,87,1753
ARG-2016,7,8,29,28,16354,20,48,0,22,3,87,1753
ARG-2017,7,8,38,21,16354,20,48,0,22,3,87,1753
ARG-2018,8,8,37,21,16354,21,48,0,30,3,87,1753
ARG-2019,7,8,35,22,16354,20,48,0,30,3,87,1753
AUS-1990,13,10,29,28,7858,143,48,0,22,1,87,1853
AUS-1991,13,10,44,31,7670,151,48,0,22,1,87,1854
AUS-1992,13,9,29,28,7634,160,48,0,26,1,87,1845
AUS-1993,12,10,47,22,7653,169,48,0,22,1,87,1855
AUS-1994,13,10,49,23,7899,179,48,0,22,1,87,1874
AUS-1995,12,9,44,24,8188,184,59,0,24,3,87,1870
AUS-1996,13,10,29,28,8298,199,48,0,22,3,87,1861
AUS-1997,14,10,46,24,8366,199,48,0,22,3,87,1860
AUS-1998,14,10,44,25,8517,209,48,0,22,3,87,1849
AUS-1999,13,10,42,26,8672,208,48,0,22,4,87,1856
AUS-2000,12,10,41,27,8901,238,48,0,22,3,87,1852
AUS-2001,12,10,41,29,9015,257,50,0,19,4,87,1828
AUS-2002,12,10,39,30,9190,270,48,0,22,4,87,1818
AUS-2003,11,10,37,31,9396,286,48,0,22,3,87,1806
AUS-2004,10,10,35,30,9558,308,53,0,17,2,87,1811
AUS-2006,10,10,33,33,10124,328,48,0,22,2,96,1802
AUS-2007,10,10,31,33,10434,338,61,0,16,5,95,1803
AUS-2008,11,10,30,36,10731,357,48,0,22,4,94,1799
AUS-2009,10,10,29,36,10805,360,48,0,22,4,87,1766
AUS-2010,11,10,26,37,11022,387,48,0,15,4,95,1777
AUS-2011,10,10,25,38,11213,402,63,0,22,4,95,1773
AUS-2012,11,10,23,41,11350,428,48,0,22,4,95,1770
AUS-2013,11,9,24,39,11456,490,48,0,13,5,95,1766
AUS-2014,12,9,22,41,11540,504,63,0,22,6,95,1755
AUS-2015,13,9,21,42,11766,511,48,0,22,6,95,1751
AUS-2016,12,9,20,43,11972,535,48,0,12,6,95,1738
AUS-2017,13,9,19,45,12250,535,65,0,22,6,95,1738
AUS-2018,13,9,18,45,12579,537,48,0,22,3,95,1732
AUS-2019,13,9,17,47,12868,489,48,0,11,3,95,1722
AUS-2020,12,9,16,49,12663,545,48,0,22,3,95,1683
AUT-1990,24,14,29,28,3412,135,48,0,22,2,87,1753
AUT-1991,23,14,29,28,3471,144,42,0,22,2,87,1753
AUT-1992,23,13,29,28,3543,152,48,0,22,2,87,1753
AUT-1993,22,13,29,28,3566,162,48,0,22,2,87,1753
AUT-1994,23,12,29,28,3698,170,48,0,22,2,87,1753
AUT-1995,23,13,29,28,3729,181,48,0,22,2,87,1653
AUT-1996,23,13,29,28,3679,189,48,0,22,2,87,1683
AUT-1997,20,12,29,28,3684,194,48,0,24,2,87,1691
AUT-1998,20,12,29,28,3689,207,48,0,22,1,87,1671
AUT-1999,19,12,29,28,3731,217,46,0,22,2,87,1675
AUT-2000,20,13,29,28,3741,237,48,0,22,2,87,1675
AUT-2001,18,12,29,28,3708,247,48,0,22,2,87,1663
AUT-2002,19,12,29,28,3757,269,48,0,22,2,87,1661
AUT-2003,18,12,29,28,3790,281,48,0,22,2,87,1652
AUT-2004,17,12,23,24,3732,312,48,0,22,2,87,1655
AUT-2005,16,12,23,24,3747,311,48,0,22,2,87,1632
AUT-2006,15,12,19,25,3826,319,47,0,23,2,91,1617
AUT-2007,15,12,20,25,3923,333,48,0,22,2,87,1606
AUT-2008,14,12,19,26,3994,343,48,0,22,2,92,1599
AUT-2009,14,11,18,26,3982,348,48,0,22,2,87,1558
AUT-2010,14,12,17,27,4016,369,48,0,22,2,93,1552
AUT-2011,14,11,17,28,4052,377,48,0,22,2,93,1557
AUT-2012,14,12,17,28,4084,396,48,0,22,2,93,1535
AUT-2013,14,11,17,29,4104,422,48,0,22,2,93,1520
AUT-2014,14,12,16,29,4112,430,46,0,24,2,93,1510
AUT-2015,13,11,15,30,4148,437,48,0,22,2,93,1495
AUT-2016,12,11,15,31,4220,460,48,0,22,2,93,1507
AUT-2017,12,11,15,32,4260,469,48,0,22,2,93,1498
AUT-2018,12,11,14,32,4319,475,48,0,22,26,93,1502
AUT-2019,11,11,14,33,4354,476,51,0,20,26,93,1508
AUT-2020,10,11,14,34,4296,470,48,0,22,3,93,1400
BEL-1990,19,12,29,28,3726,212,48,0,22,1,87,1662
BEL-1991,18,11,56,19,3735,212,48,0,22,1,87,1625
BEL-1992,19,11,54,20,3723,212,48,0,22,1,87,1602
BEL-1993,21,11,29,28,3698,212,48,0,22,2,87,1558
BEL-1994,21,11,50,22,3687,212,48,0,22,2,87,1558
BEL-1995,21,11,46,24,3715,137,48,0,22,2,87,1578
BEL-1996,20,10,29,28,3738,136,48,0,22,2,87,1575
BEL-1997,21,10,29,28,3762,157,41,0,25,1,87,1582
BEL-1998,20,9,29,28,3810,167,48,0,22,1,87,1574
BEL-1999,18,10,29,28,4007,179,48,0,22,1,87,1575
BEL-2000,20,11,41,27,4092,203,48,0,22,1,87,1589
BEL-2001,21,11,40,27,4055,206,44,0,24,1,87,1581
BEL-2002,20,11,39,28,4069,240,48,0,22,2,87,1594
BEL-2003,20,11,38,29,4070,259,48,0,22,2,87,1598
BEL-2004,18,12,35,30,4139,265,44,0,23,2,87,1588
BEL-2005,19,12,33,31,4235,269,48,0,22,2,87,1578
BEL-2006,18,10,33,31,4264,279,48,0,22,2,92,1592
BEL-2007,17,10,32,32,4379,293,48,0,22,2,91,1594
BEL-2008,18,10,30,32,4445,294,47,0,20,2,91,1582
BEL-2009,18,10,29,33,4420,301,48,0,22,2,87,1563
BEL-2010,18,10,29,35,4488,317,48,0,22,1,91,1574
BEL-2011,18,10,28,34,4509,330,48,0,22,2,93,1590
BEL-2012,17,10,28,35,4523,338,48,0,22,2,91,1587
BEL-2013,16,10,27,35,4530,360,48,0,18,1,93,1586
BEL-2014,16,10,26,36,4543,369,51,0,22,1,93,1582
BEL-2015,16,10,25,36,4551,381,48,0,22,1,93,1575
BEL-2016,16,9,24,37,4586,388,48,0,22,1,93,1574
BEL-2017,14,9,23,40,4637,397,48,0,22,1,93,1578
BEL-2018,15,9,21,40,4755,410,55,0,15,28,93,1580
BGR-1990,17,9,29,28,16354,212,48,0,22,3,87,1753
BGR-1991,17,9,29,28,16354,212,48,0,22,3,87,1753
BGR-1992,20,9,29,28,16354,212,48,0,22,3,87,1753
BGR-1993,18,9,29,28,16354,212,48,0,22,3,87,1753
BGR-1994,19,9,29,28,16354,212,48,0,22,3,87,1753
BGR-1995,18,9,29,28,16354,212,48,0,22,3,87,1710
BGR-1996,19,9,29,28,16354,212,48,0,22,3,87,1708
BGR-1997,19,9,29,28,16354,212,48,0,22,3,87,1706
BGR-1998,20,9,29,28,16354,212,48,0,22,3,87,1650
BGR-1999,17,9,29,28,16354,212,48,0,22,3,87,1669
BGR-2000,18,10,29,28,16354,212,48,0,22,3,87,1640
BGR-2001,16,11,29,28,16354,212,48,0,22,3,87,1651
BGR-2002,17,10,29,28,16354,212,48,0,22,3,87,1651
BGR-2003,14,11,29,28,16354,95,48,0,22,3,87,1640
BGR-2004,13,11,29,28,16354,102,48,0,22,3,87,1663
BGR-2005,12,10,29,28,16354,109,48,0,22,3,87,1658
BGR-2006,12,10,29,28,16354,121,48,0,22,3,87,1654
BGR-2007,11,10,29,28,16354,129,48,0,22,3,87,1654
BGR-2008,11,11,29,28,16354,142,48,0,22,3,87,1693
BGR-2009,11,11,29,28,16354,152,48,0,22,3,87,1646
BGR-2010,10,9,29,28,16354,169,48,0,22,3,87,1644
BGR-2011,9,9,29,28,16354,189,48,0,22,3,87,1643
BGR-2012,11,10,29,28,16354,222,48,0,22,3,87,1644
BGR-2013,9,10,29,28,16354,193,48,0,22,3,87,1645
BGR-2014,9,10,29,28,16354,209,48,0,22,3,87,1644
BGR-2015,8,10,29,28,16354,225,48,0,22,3,87,1644
BGR-2016,8,11,29,28,16354,253,48,0,22,3,87,1643
BGR-2017,8,10,29,28,16354,261,48,0,22,3,87,1643
BGR-2018,8,11,29,28,16354,255,48,0,22,3,87,1644
BGR-2019,7,11,29,28,16354,250,48,0,22,3,87,1645
BRA-1990,4,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1991,5,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1992,4,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1993,4,4,29,28,16354,212,48,0,22,3,87,1753
BRA-1994,5,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1995,5,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1996,5,6,29,28,16354,212,48,0,22,3,87,1753
BRA-1997,5,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1998,5,5,29,28,16354,212,48,0,22,3,87,1753
BRA-1999,4,5,29,28,16354,212,48,0,22,3,87,1753
BRA-2000,5,7,29,28,16354,31,48,0,22,3,87,1753
BRA-2001,5,7,29,28,16354,32,48,0,22,3,87,1753
BRA-2002,5,7,29,28,16354,31,48,0,22,3,87,1753
BRA-2003,5,6,29,28,18416,30,48,0,17,3,87,1753
