LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
ARG-1990,9.3,,,,,,,,,
ARG-1991,8.2,,,,,,,,,
ARG-1992,9.0,,,,,,,,,
ARG-1993,9.3,,,,,,,,,
ARG-1994,8.7,,,,,,,,,
ARG-1995,8.4,,,,,,,,,
ARG-1996,8.4,,,,,,,,,
ARG-1997,8.1,,,,,,,,,
ARG-1998,8.4,,,,,,,,,
ARG-1999,8.4,,,,,,,,,
ARG-2000,9.4,,,,,24.5,,39.8,,
ARG-2001,10.3,,,,,24.5,,,,
ARG-2002,10.1,,,,,24.4,,,,
ARG-2003,10.3,,,,,24.2,,,,
ARG-2004,9.4,,51.2,16.7,85.2,25.8,,,,
ARG-2005,9.1,,50.2,17.5,85.8,26.1,,37.0,,
ARG-2006,8.9,,48.5,17.8,87.2,25.5,,,,
ARG-2007,8.3,,,,,24.6,,,,
ARG-2008,8.5,,45.8,19.0,86.5,24.3,,,,
ARG-2009,7.9,,44.8,19.5,86.7,21.9,,,,
ARG-2010,7.9,8.2,43.4,20.1,87.2,22.4,,34.2,,
ARG-2011,7.6,7.7,42.8,20.2,87.5,21.7,,,,
ARG-2012,8.4,8.0,41.4,20.6,87.1,20.6,,,,
ARG-2013,7.6,8.3,40.6,21.1,86.8,19.7,,,,
ARG-2014,8.1,7.9,41.2,20.5,86.8,18.8,,,,
ARG-2015,7.9,8.5,,,,18.2,,31.7,,
ARG-2016,7.6,8.4,,,,20.5,,,,
ARG-2017,7.8,8.3,38.5,21.4,85.5,20.1,,,,
ARG-2018,8.0,8.0,37.0,21.9,86.2,21.0,,30.3,,
ARG-2019,7.8,8.0,35.8,22.8,86.6,20.5,,30.0,,
AUS-1990,13.6,10.6,,,,143.4,,,1.1,1853.0
AUS-1991,13.9,10.1,44.1,31.2,75.2,151.9,,,1.2,1854.0
AUS-1992,13.5,9.9,,,,160.8,,26.0,1.2,1845.6
AUS-1993,12.1,10.2,47.2,22.5,82.0,169.4,,,1.4,1855.7
AUS-1994,13.3,10.0,49.8,23.1,82.4,179.4,,,1.4,1874.2
AUS-1995,12.3,9.8,44.9,24.3,83.3,184.4,59.2,24.1,3.3,1870.3
AUS-1996,13.6,10.0,,,,199.4,,,3.5,1861.5
AUS-1997,14.6,10.2,46.7,24.3,83.4,199.9,,,3.9,1860.8
AUS-1998,14.2,10.0,44.0,25.4,83.8,209.1,,22.1,3.5,1849.9
AUS-1999,13.4,10.0,42.6,26.7,82.0,208.5,,,4.0,1856.1
AUS-2000,12.7,10.2,41.2,27.5,82.9,238.3,,,3.7,1852.2
AUS-2001,12.9,10.0,41.1,29.0,83.1,257.8,50.0,19.6,4.0,1828.7
AUS-2002,12.0,10.4,39.1,30.8,83.5,270.8,,,4.0,1818.0
AUS-2003,11.0,10.3,37.5,31.3,83.2,286.1,,,3.5,1806.5
AUS-2004,10.7,10.5,35.9,30.8,83.3,308.8,53.5,17.8,2.7,1811.4
AUS-2006,10.6,10.8,33.3,33.0,84.4,328.0,,,2.9,1802.4
AUS-2007,10.7,10.8,31.8,33.7,84.8,338.4,61.2,16.9,5.2,1803.1
AUS-2008,11.1,10.8,30.1,36.1,83.1,357.4,,,4.4,1799.1
AUS-2009,10.8,10.7,29.0,36.9,84.3,360.9,,,4.3,1766.7
AUS-2010,11.0,10.4,26.8,37.6,84.0,387.0,,15.3,4.3,1777.6
AUS-2011,10.9,10.2,25.9,38.3,84.3,402.0,63.4,,4.6,1773.9
AUS-2012,11.5,10.0,23.6,41.3,84.4,428.8,,,4.8,1770.8
AUS-2013,11.5,9.9,24.3,39.5,83.5,490.0,,13.0,5.4,1766.0
AUS-2014,12.6,9.7,22.9,41.9,82.9,504.6,63.4,,6.0,1755.1
AUS-2015,13.2,9.8,21.0,42.9,83.1,511.7,,,6.2,1751.3
AUS-2016,12.2,9.5,20.1,43.7,83.5,535.4,,12.4,6.4,1738.7
AUS-2017,13.6,9.5,19.0,45.4,84.0,535.1,65.2,,6.6,1738.5
AUS-2018,13.0,,18.1,45.7,84.1,537.9,,,,1732.5
AUS-2019,13.3,,17.1,47.1,84.6,489.9,,11.2,,1722.3
AUS-2020,12.4,,16.2,49.3,81.5,545.1,,,,1683.1
AUT-1990,24.7,14.0,,,,135.8,,,2.2,
AUT-1991,23.6,14.0,,,,144.4,42.0,,2.2,
AUT-1992,23.4,13.6,,,,152.0,,,2.2,
AUT-1993,22.4,13.5,,,,162.0,,,2.2,
AUT-1994,23.2,12.5,,,,170.4,,,2.1,
AUT-1995,23.1,13.4,,,,181.0,,,2.1,1653.0
AUT-1996,23.1,13.5,,,,189.3,,,2.0,1683.0
AUT-1997,20.4,12.9,,,,194.0,,24.3,2.0,1691.0
AUT-1998,20.1,12.9,,,,207.8,,,1.9,1671.0
AUT-1999,19.9,12.8,,,,217.4,46.1,,2.0,1675.0
AUT-2000,20.1,13.2,,,,237.5,,,2.1,1675.0
AUT-2001,18.6,12.3,,,,247.3,,,2.0,1663.0
AUT-2002,19.2,12.1,,,,269.7,,,2.0,1661.0
AUT-2003,18.0,12.3,,,,281.2,,,2.0,1652.0
AUT-2004,17.3,12.1,23.7,24.8,81.2,312.4,,,2.0,1655.0
AUT-2005,16.8,12.2,23.1,24.6,83.0,311.0,,,2.0,1632.0
