LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Pov_Val,Smoking_Val,Soc_Spend_Val,Soc_Sup_Val,Work_Hour_Val
ARG-1990,9.3,9.5,52,31.3,8366.7,25.8,,0.1,,,91.7,1854
ARG-1991,8.2,8.4,53.6,30.8,9396.5,26.1,61.8,0.1,13.4,,85.8,1845.6
ARG-1992,9,8.2,61.8,33,9558.4,25.5,59.4,0.1,12.1,2,85.8,1855.7
ARG-1993,9.3,7.5,59.4,33.7,7899.3,24.6,45.8,0.1,11.3,1.9,85.8,1874.2
ARG-1994,8.7,10,45.8,36.1,8366.7,24.3,52.3,0.1,10.8,1.9,85.8,1870.3
ARG-1995,8.4,7.6,52.3,36.9,9396.5,21.9,51.2,0.1,10.4,1.8,85.8,1861.5
ARG-1996,8.4,8.1,51.2,37.6,8517.4,22.4,49.8,0.1,10.2,1.7,94.2,1860.8
ARG-1997,8.1,6.7,49.8,38.3,8366.7,21.7,54.2,0.1,10.1,1.9,85.8,1849.9
ARG-1998,8.4,6.3,54.2,41.3,8188.8,25,51.3,0.1,9.3,2,85.8,1856.1
ARG-1999,8.4,8.3,51.3,39.5,7899.3,28,52.8,0.1,9.8,2.5,96.1,1852.2
ARG-2000,9.4,7.5,52.8,41.9,8517.4,24.5,51.6,0.1,28.2,2.5,92,1828.7
ARG-2001,10.3,6.8,51.6,38.5,8188.8,24.5,49.9,0.1,25.9,2.4,92.8,1818
ARG-2002,10.1,7.5,49.9,30.1,9396.5,24.4,50.1,,,2.4,91.2,1806.5
ARG-2003,10.3,8.5,50.1,27.6,10124.2,24.2,51.2,,18.2,2.1,92.6,1811.4
ARG-2004,9.4,9.2,51.2,16.7,9558.4,25.8,50.2,0.1,17.5,2.1,92.6,1802.4
ARG-2005,9.1,8.2,50.2,17.5,7899.3,26.1,48.5,0.1,16.2,2.2,92.6,1803.1
ARG-2006,8.9,7.6,48.5,17.8,8366.7,25.5,47,0.1,16.3,1.9,92.6,1799.1
ARG-2007,8.3,7.8,47,18,9396.5,24.6,45.8,0.1,15.7,2,92.6,1766.7
ARG-2008,8.5,8.4,45.8,19,9558.4,24.3,44.8,0.1,16.1,2.4,92.6,1777.6
ARG-2009,7.9,8.9,44.8,19.5,8366.7,21.9,43.4,0.1,14.9,2.1,92.6,1773.9
ARG-2010,7.9,8.2,43.4,20.1,9396.5,22.4,42.8,0.1,14,2.1,92.6,1770.8
ARG-2011,7.6,7.7,42.8,20.2,8517.4,21.7,41.4,0.1,13.1,2.2,92.6,1766
ARG-2012,8.4,8,41.4,20.6,10124.2,20.6,40.6,0.1,12.5,1.9,92.6,1755.1
ARG-2013,7.6,8.3,40.6,21.1,7899.3,19.7,41.2,0.1,12,2,92.6,1751.3
ARG-2014,8.1,7.9,41.2,20.5,9396.5,18.8,,0.1,11.3,2.1,,
ARG-2015,7.9,8.5,44.8,,9558.4,18.2,52.3,0.1,10.3,2.1,,
ARG-2016,7.6,8.4,43.4,,8366.7,20.5,51.2,,,2.2,,
ARG-2017,7.8,8.3,42.8,21.4,7899.3,20.1,49.8,,19.6,1.9,,
ARG-2018,8,8,37,21.9,8517.4,21,54.2,,18.6,2,97,
ARG-2019,7.8,8,35.8,22.8,9396.5,20.5,51.3,0.1,17.9,2.4,94.9,
AUS-1990,13.6,10.6,38,,7858.8,143.4,52.8,0.1,17.8,2.1,95,1853
AUS-1991,13.9,10.1,44.1,31.2,7670.5,151.9,51.6,0.1,17.2,2.1,93.7,1854
AUS-1992,13.5,9.9,46.2,,7634.4,160.8,49.9,0.1,16.9,1.2,95.8,1845.6
AUS-1993,12.1,10.2,47.2,22.5,7653.4,169.4,50.1,0.1,16.5,1.4,95.8,1855.7
AUS-1994,13.3,10,49.8,23.1,7899.3,179.4,51.2,0.1,15.8,1.4,95.8,1874.2
AUS-1995,12.3,9.8,44.9,24.3,8188.8,184.4,50.2,0.1,15.5,3.3,95.8,1870.3
AUS-1996,13.6,10,49,,8298.9,199.4,48.5,0.1,15.1,3.5,95.8,1861.5
AUS-1997,14.6,10.2,46.7,24.3,8366.7,199.9,47,0.1,12,3.9,95.8,1860.8
AUS-1998,14.2,10,44,25.4,8517.4,209.1,45.8,0.1,11.3,3.5,95.8,1849.9
AUS-1999,13.4,10,42.6,26.7,8672.6,208.5,44.8,0.1,10.3,4,,1856.1
AUS-2000,12.7,10.2,41.2,27.5,8901.7,238.3,39.2,0.1,,3.7,97,1852.2
AUS-2001,12.9,10,41.1,29,9015,257.8,33.9,,19.6,4,94.9,1828.7
AUS-2002,12,10.4,39.1,30.8,9190.3,270.8,41.5,0.1,18.6,4,95,1818
AUS-2003,11,10.3,37.5,31.3,9396.5,286.1,40.5,0.1,17.9,3.5,93.7,1806.5
AUS-2004,10.7,10.5,35.9,30.8,9558.4,308.8,39.2,0.1,17.8,2.7,95.8,1811.4
AUS-2006,10.6,10.8,33.3,33,10124.2,328,38,0.1,17.2,2.9,95.8,1802.4
AUS-2007,10.7,10.8,31.8,33.7,10434.3,338.4,35.7,0.1,16.9,5.2,95.8,1803.1
AUS-2008,11.1,10.8,30.1,36.1,10731.2,357.4,33.9,0.1,16.5,4.4,95.8,1799.1
AUS-2009,10.8,10.7,29,36.9,10805.6,360.9,33.1,0.1,15.8,4.3,95.8,1766.7
AUS-2010,11,10.4,26.8,37.6,11022.2,387,32,0.1,15.5,4.3,95.8,1777.6
AUS-2011,10.9,10.2,25.9,38.3,11213.8,402,30.4,0.1,15.1,4.6,95.8,1773.9
AUS-2012,11.5,10,23.6,41.3,11350.8,428.8,29.4,0.1,14.9,4.8,95.8,1770.8
AUS-2013,11.5,9.9,24.3,39.5,11456.7,490,29.5,0.1,14.6,5.4,95.8,1766
AUS-2014,12.6,9.7,22.9,41.9,11540.2,504.6,28.7,0.1,13.9,6,,1755.1
AUS-2015,13.2,9.8,21,42.9,11766.3,511.7,28.4,0.1,14.1,6.2,,1751.3
AUS-2016,12.2,9.5,20.1,43.7,11972.9,535.4,27.2,0.1,12.4,6.4,,1738.7
AUS-2017,13.6,9.5,19,45.4,12250.5,535.1,26.4,0.1,11.5,6.6,95.8,1738.5
AUS-2018,13,10.2,18.1,45.7,12579.6,537.9,25.3,0.1,11.2,,95.8,1732.5
AUS-2019,13.3,10.5,17.1,47.1,12868,489.9,,0.1,11.2,,95.8,1722.3
AUS-2020,12.4,9.8,16.2,49.3,12663.5,545.1,,0.1,12.3,,95.8,1683.1
AUT-1990,24.7,14,18.9,28,3412,135.8,,,14.3,2.2,94.9,
AUT-1991,23.6,14,19.6,29.9,3471,144.4,42,,16.8,2.2,95,
AUT-1992,23.4,13.6,15.4,25.4,3543,152,,,,2.2,93.7,
AUT-1993,22.4,13.5,13.8,24.8,3566,162,61.8,0.1,13.4,2.2,95.8,
AUT-1994,23.2,12.5,16.3,29.9,3698,170.4,59.4,0.1,12.1,2.1,95.8,
AUT-1995,23.1,13.4,15.2,24.8,3729,181,45.8,0.1,11.3,2.1,95.8,1653
AUT-1996,23.1,13.5,19.8,28,3679,189.3,52.3,0.1,10.8,2,95.8,1683
