LocationTime,LOCATION,INDICATOR,TIME,Value
AUS-2012,AUS,POVERTY,2012,0.129
AUS-2014,AUS,POVERTY,2014,0.13
AUS-2016,AUS,POVERTY,2016,0.125
AUS-2018,AUS,POVERTY,2018,0.133
AUS-2020,AUS,POVERTY,2020,0.133
AUS-2012,AUS,POVERTY,2012,0.14
AUS-2014,AUS,POVERTY,2014,0.128
AUS-2016,AUS,POVERTY,2016,0.121
AUS-2018,AUS,POVERTY,2018,0.124
AUS-2020,AUS,POVERTY,2020,0.126
AUS-2012,AUS,POVERTY,2012,0.107
AUS-2014,AUS,POVERTY,2014,0.102
AUS-2016,AUS,POVERTY,2016,0.094
AUS-2018,AUS,POVERTY,2018,0.096
AUS-2020,AUS,POVERTY,2020,0.101
AUT-2007,AUT,POVERTY,2007,0.097
AUT-2008,AUT,POVERTY,2008,0.098
AUT-2009,AUT,POVERTY,2009,0.11
AUT-2010,AUT,POVERTY,2010,0.1
AUT-2011,AUT,POVERTY,2011,0.092
AUT-2012,AUT,POVERTY,2012,0.104
AUT-2013,AUT,POVERTY,2013,0.104
AUT-2014,AUT,POVERTY,2014,0.108
AUT-2015,AUT,POVERTY,2015,0.096
AUT-2016,AUT,POVERTY,2016,0.115
AUT-2017,AUT,POVERTY,2017,0.115
AUT-2018,AUT,POVERTY,2018,0.096
AUT-2019,AUT,POVERTY,2019,0.13
AUT-2007,AUT,POVERTY,2007,0.097
AUT-2008,AUT,POVERTY,2008,0.093
AUT-2009,AUT,POVERTY,2009,0.096
AUT-2010,AUT,POVERTY,2010,0.089
AUT-2011,AUT,POVERTY,2011,0.091
AUT-2012,AUT,POVERTY,2012,0.096
AUT-2013,AUT,POVERTY,2013,0.09
AUT-2014,AUT,POVERTY,2014,0.091
AUT-2015,AUT,POVERTY,2015,0.087
AUT-2016,AUT,POVERTY,2016,0.098
AUT-2017,AUT,POVERTY,2017,0.094
AUT-2018,AUT,POVERTY,2018,0.094
AUT-2019,AUT,POVERTY,2019,0.1
AUT-2007,AUT,POVERTY,2007,0.088
AUT-2008,AUT,POVERTY,2008,0.083
AUT-2009,AUT,POVERTY,2009,0.086
AUT-2010,AUT,POVERTY,2010,0.079
AUT-2011,AUT,POVERTY,2011,0.087
AUT-2012,AUT,POVERTY,2012,0.089
AUT-2013,AUT,POVERTY,2013,0.084
AUT-2014,AUT,POVERTY,2014,0.087
AUT-2015,AUT,POVERTY,2015,0.087
AUT-2016,AUT,POVERTY,2016,0.095
AUT-2017,AUT,POVERTY,2017,0.088
AUT-2018,AUT,POVERTY,2018,0.092
AUT-2019,AUT,POVERTY,2019,0.091
BEL-2018,BEL,POVERTY,2018,0.092
BEL-2019,BEL,POVERTY,2019,0.085
BEL-2018,BEL,POVERTY,2018,0.082
BEL-2019,BEL,POVERTY,2019,0.081
BEL-2018,BEL,POVERTY,2018,0.077
BEL-2019,BEL,POVERTY,2019,0.073
CAN-1990,CAN,POVERTY,1990,0.159
CAN-1991,CAN,POVERTY,1991,0.157
CAN-1992,CAN,POVERTY,1992,0.155
CAN-1993,CAN,POVERTY,1993,0.16
CAN-1994,CAN,POVERTY,1994,0.15
CAN-1995,CAN,POVERTY,1995,0.157
CAN-1996,CAN,POVERTY,1996,0.169
CAN-1997,CAN,POVERTY,1997,0.161
CAN-1998,CAN,POVERTY,1998,0.161
CAN-1999,CAN,POVERTY,1999,0.147
CAN-2000,CAN,POVERTY,2000,0.15
