LocationTime,LOCATION,INDICATOR,TIME,Value
AUS-1990,AUS,ALCOHOL,1990,10.6
AUS-1991,AUS,ALCOHOL,1991,10.1
AUS-1992,AUS,ALCOHOL,1992,9.9
AUS-1993,AUS,ALCOHOL,1993,10.2
AUS-1994,AUS,ALCOHOL,1994,10.0
AUS-1995,AUS,ALCOHOL,1995,9.8
AUS-1996,AUS,ALCOHOL,1996,10.0
AUS-1997,AUS,ALCOHOL,1997,10.2
AUS-1998,AUS,ALCOHOL,1998,10.0
AUS-1999,AUS,ALCOHOL,1999,10.0
AUS-2000,AUS,ALCOHOL,2000,10.2
AUS-2001,AUS,ALCOHOL,2001,10.0
AUS-2002,AUS,ALCOHOL,2002,10.4
AUS-2003,AUS,ALCOHOL,2003,10.3
AUS-2004,AUS,ALCOHOL,2004,10.5
AUS-2005,AUS,ALCOHOL,2005,10.5
AUS-2006,AUS,ALCOHOL,2006,10.8
AUS-2007,AUS,ALCOHOL,2007,10.8
AUS-2008,AUS,ALCOHOL,2008,10.8
AUS-2009,AUS,ALCOHOL,2009,10.7
AUS-2010,AUS,ALCOHOL,2010,10.4
AUS-2011,AUS,ALCOHOL,2011,10.2
AUS-2012,AUS,ALCOHOL,2012,10.0
AUS-2013,AUS,ALCOHOL,2013,9.9
AUS-2014,AUS,ALCOHOL,2014,9.7
AUS-2015,AUS,ALCOHOL,2015,9.8
AUS-2016,AUS,ALCOHOL,2016,9.5
AUS-2017,AUS,ALCOHOL,2017,9.5
AUT-1990,AUT,ALCOHOL,1990,14.0
AUT-1991,AUT,ALCOHOL,1991,14.0
AUT-1992,AUT,ALCOHOL,1992,13.6
AUT-1993,AUT,ALCOHOL,1993,13.5
AUT-1994,AUT,ALCOHOL,1994,12.5
AUT-1995,AUT,ALCOHOL,1995,13.4
AUT-1996,AUT,ALCOHOL,1996,13.5
AUT-1997,AUT,ALCOHOL,1997,12.9
AUT-1998,AUT,ALCOHOL,1998,12.9
AUT-1999,AUT,ALCOHOL,1999,12.8
AUT-2000,AUT,ALCOHOL,2000,13.2
AUT-2001,AUT,ALCOHOL,2001,12.3
AUT-2002,AUT,ALCOHOL,2002,12.1
AUT-2003,AUT,ALCOHOL,2003,12.3
AUT-2004,AUT,ALCOHOL,2004,12.1
AUT-2005,AUT,ALCOHOL,2005,12.2
AUT-2006,AUT,ALCOHOL,2006,12.5
AUT-2007,AUT,ALCOHOL,2007,12.5
AUT-2008,AUT,ALCOHOL,2008,12.0
AUT-2009,AUT,ALCOHOL,2009,11.8
AUT-2010,AUT,ALCOHOL,2010,12.1
AUT-2011,AUT,ALCOHOL,2011,11.9
AUT-2012,AUT,ALCOHOL,2012,12.1
AUT-2013,AUT,ALCOHOL,2013,11.9
AUT-2014,AUT,ALCOHOL,2014,12.2
