LocationTime,LOCATION,TIME,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY
ARG-2004,ARG,2004,51.205463,16.711861,32.082676
ARG-2005,ARG,2005,50.157974,17.471054,32.370968
ARG-2006,ARG,2006,48.472809,17.830963,33.696232
ARG-2008,ARG,2008,45.804825,18.973812,35.221363
ARG-2009,ARG,2009,44.794254,19.518599,35.687149
ARG-2010,ARG,2010,43.36871,20.111586,36.519707
ARG-2011,ARG,2011,42.753086,20.237337,37.009579
ARG-2012,ARG,2012,41.416412,20.556126,38.027462
ARG-2013,ARG,2013,40.635166,21.056189,38.308643
ARG-2014,ARG,2014,41.248135,20.534544,38.217319
ARG-2017,ARG,2017,38.528397,21.406713,40.064892
ARG-2018,ARG,2018,36.971165,21.924601,41.104233
ARG-2019,ARG,2019,35.771305,22.811752,41.416943
ARG-2020,ARG,2020,37.158802,22.400209,40.44099
AUS-1991,AUS,1991,44.127056,31.15881,24.714134
AUS-1993,AUS,1993,47.159046,22.469191,30.371763
AUS-1994,AUS,1994,49.802025,23.072365,27.12561
AUS-1995,AUS,1995,44.935852,24.315445,30.748701
AUS-1997,AUS,1997,46.695274,24.30127,29.003454
AUS-1998,AUS,1998,43.955959,25.420708,30.623333
AUS-1999,AUS,1999,42.610085,26.693399,30.696516
AUS-2000,AUS,2000,41.212311,27.475746,31.311945
AUS-2001,AUS,2001,41.076141,28.977322,29.946537
AUS-2002,AUS,2002,39.050316,30.759785,30.189898
AUS-2003,AUS,2003,37.519817,31.314152,31.166031
AUS-2004,AUS,2004,35.879036,30.82308,33.297886
AUS-2005,AUS,2005,34.967968,31.691153,33.340881
AUS-2006,AUS,2006,33.289845,33.022213,33.687943
AUS-2007,AUS,2007,31.816732,33.73671,34.44656
AUS-2008,AUS,2008,30.064018,36.149986,33.785992
AUS-2009,AUS,2009,28.972523,36.881355,34.146122
AUS-2010,AUS,2010,26.792744,37.604309,35.602947
AUS-2011,AUS,2011,25.922543,38.342072,35.735386
AUS-2012,AUS,2012,23.563389,41.282364,35.154247
AUS-2013,AUS,2013,24.28443,39.539928,36.17564
AUS-2014,AUS,2014,22.895836,41.901855,35.202309
AUS-2015,AUS,2015,20.980896,42.888756,36.130348
AUS-2016,AUS,2016,20.067352,43.7439,36.188747
AUS-2017,AUS,2017,19.012659,45.355675,35.631668
AUS-2018,AUS,2018,18.108641,45.727478,36.163879
AUS-2019,AUS,2019,17.132658,47.129978,35.737366
AUS-2020,AUS,2020,16.244976,49.337452,34.417572
AUT-2004,AUT,2004,23.66626,24.783438,51.550304
AUT-2005,AUT,2005,23.055067,24.639351,52.305584
AUT-2006,AUT,2006,19.871609,25.356432,54.771961
AUT-2007,AUT,2007,20.062889,25.092672,54.844437
AUT-2008,AUT,2008,19.120087,26.191858,54.688057
AUT-2009,AUT,2009,18.354979,26.895824,54.749195
AUT-2010,AUT,2010,17.647495,27.743721,54.608784
AUT-2011,AUT,2011,17.636829,27.956152,54.407017
AUT-2012,AUT,2012,17.08353,28.739943,54.176529
AUT-2013,AUT,2013,17.028002,29.738844,53.233154
AUT-2014,AUT,2014,16.143999,29.904896,53.951103
AUT-2015,AUT,2015,15.351305,30.550726,54.097969
AUT-2016,AUT,2016,15.471591,31.383963,53.144444
AUT-2017,AUT,2017,15.037577,32.39439,52.568035
AUT-2018,AUT,2018,14.702526,32.711426,52.586048
AUT-2019,AUT,2019,14.435863,33.773777,51.790359
AUT-2020,AUT,2020,14.341329,34.205894,51.452774
BEL-1991,BEL,1991,56.83075,19.620007,23.549244
BEL-1992,BEL,1992,54.736912,20.226023,25.037067
BEL-1994,BEL,1994,50.637184,22.345255,27.017561
BEL-1995,BEL,1995,46.545418,24.604177,28.850407
BEL-2000,BEL,2000,41.47678,27.084993,31.438227
BEL-2001,BEL,2001,40.536442,27.626753,31.836805
BEL-2002,BEL,2002,39.196617,28.134819,32.668564
BEL-2003,BEL,2003,37.952141,29.031809,33.016048
BEL-2004,BEL,2004,35.708241,30.40086,33.8909
BEL-2005,BEL,2005,33.903755,31.045088,35.051159
BEL-2006,BEL,2006,33.057926,31.754845,35.187229
BEL-2007,BEL,2007,32.046577,32.094864,35.858559
BEL-2008,BEL,2008,30.423817,32.310043,37.26614
BEL-2009,BEL,2009,29.427107,33.397053,37.175842
BEL-2010,BEL,2010,29.500488,34.989502,35.51001
BEL-2011,BEL,2011,28.733294,34.612984,36.653725
BEL-2012,BEL,2012,28.356371,35.316551,36.32708
BEL-2013,BEL,2013,27.241648,35.535332,37.223022
BEL-2014,BEL,2014,26.44935,36.855022,36.695625
BEL-2015,BEL,2015,25.322903,36.857422,37.819675
BEL-2016,BEL,2016,24.905834,37.503956,37.59021
BEL-2017,BEL,2017,23.202787,40.257053,36.540157
BEL-2018,BEL,2018,21.773218,40.638546,37.588238
BEL-2019,BEL,2019,21.313864,40.67009,38.016045
BEL-2020,BEL,2020,20.218918,42.442284,37.338799
BRA-2007,BRA,2007,63.191654,9.6238279,27.184517
BRA-2008,BRA,2008,61.161831,10.795494,28.042675
BRA-2009,BRA,2009,59.32708,10.863071,29.809849
BRA-2011,BRA,2011,56.729549,11.614742,31.655708
BRA-2012,BRA,2012,54.996342,12.993286,32.010372
BRA-2013,BRA,2013,53.588863,13.746482,32.664654
BRA-2014,BRA,2014,52.637005,14.321353,33.041641
BRA-2015,BRA,2015,51.127499,14.794608,34.077896
BRA-2016,BRA,2016,48.828545,16.858622,34.312836
BRA-2017,BRA,2017,48.041367,17.146753,34.811878
BRA-2018,BRA,2018,46.323441,18.355165,35.321396
BRA-2019,BRA,2019,45.144974,18.71954,36.135487
BRA-2020,BRA,2020,42.072502,20.057917,37.869579
CAN-1990,CAN,1990,31.034004,28.036085,40.929909
CAN-1991,CAN,1991,29.99659,28.271395,41.732014
CAN-1992,CAN,1992,28.664516,29.020555,42.314926
CAN-1993,CAN,1993,26.689636,30.386959,42.923405
CAN-1994,CAN,1994,26.150627,33.485878,40.363495
CAN-1995,CAN,1995,24.862947,34.537247,40.599808
CAN-1996,CAN,1996,23.648046,35.634304,40.717648
CAN-1997,CAN,1997,22.245962,37.415951,40.338089
CAN-1998,CAN,1998,21.320238,38.258327,40.421432
CAN-1999,CAN,1999,20.417206,39.376038,40.206757
CAN-2000,CAN,2000,19.332481,40.105782,40.561737
CAN-2001,CAN,2001,18.011751,41.881519,40.106728
CAN-2002,CAN,2002,17.321903,42.873188,39.804909
CAN-2003,CAN,2003,16.267523,44.123833,39.608646
CAN-2004,CAN,2004,15.686501,44.548969,39.76453
CAN-2005,CAN,2005,14.816504,45.976749,39.206749
CAN-2006,CAN,2006,14.457152,46.881516,38.661331
CAN-2007,CAN,2007,13.494848,48.181564,38.323586
CAN-2008,CAN,2008,13.003522,48.706802,38.289677
CAN-2009,CAN,2009,12.468069,49.290722,38.241207
CAN-2010,CAN,2010,11.736887,50.311695,37.95142
CAN-2011,CAN,2011,11.368477,51.033012,37.598511
CAN-2012,CAN,2012,11.035321,52.305416,36.659264
CAN-2013,CAN,2013,10.45779,52.971439,36.57077
CAN-2014,CAN,2014,10.011459,53.61496,36.373581
CAN-2015,CAN,2015,9.5978909,55.17366,35.228447
CAN-2016,CAN,2016,9.3911886,56.265068,34.343746
CAN-2017,CAN,2017,8.8729382,56.71452,34.412544
CAN-2018,CAN,2018,8.3779144,57.888363,33.733723
CAN-2019,CAN,2019,8.1420355,59.374844,32.48312
CAN-2020,CAN,2020,7.5580816,59.961113,32.480804
CHE-1991,CHE,1991,19.285833,20.290298,60.42387
CHE-1992,CHE,1992,19.194889,20.960182,59.844929
CHE-1994,CHE,1994,17.797632,21.428631,60.773739
CHE-1995,CHE,1995,17.792086,21.11282,61.095093
