LocationTime,LOCATION,INDICATOR,SUBJECT,TIME,Value
AUS-1990,AUS,EMP,MEN,1990,4600.225
AUS-1991,AUS,EMP,MEN,1991,4449.521
AUS-1992,AUS,EMP,MEN,1992,4402.28
AUS-1993,AUS,EMP,MEN,1993,4403.292
AUS-1994,AUS,EMP,MEN,1994,4532.231
AUS-1995,AUS,EMP,MEN,1995,4665.304
AUS-1996,AUS,EMP,MEN,1996,4715.818
AUS-1997,AUS,EMP,MEN,1997,4742.123
AUS-1998,AUS,EMP,MEN,1998,4812.578
AUS-1999,AUS,EMP,MEN,1999,4890.84
AUS-2000,AUS,EMP,MEN,2000,4978.391
AUS-2001,AUS,EMP,MEN,2001,5008.421
AUS-2002,AUS,EMP,MEN,2002,5101.588
AUS-2003,AUS,EMP,MEN,2003,5192.441
AUS-2004,AUS,EMP,MEN,2004,5296.681
AUS-2005,AUS,EMP,MEN,2005,5443.297
AUS-2006,AUS,EMP,MEN,2006,5559.523
AUS-2007,AUS,EMP,MEN,2007,5732.45
AUS-2008,AUS,EMP,MEN,2008,5880.447
AUS-2009,AUS,EMP,MEN,2009,5879.186
AUS-2010,AUS,EMP,MEN,2010,6021.409
AUS-2011,AUS,EMP,MEN,2011,6107.871
AUS-2012,AUS,EMP,MEN,2012,6163.553
AUS-2013,AUS,EMP,MEN,2013,6200.635
AUS-2014,AUS,EMP,MEN,2014,6231.923
AUS-2015,AUS,EMP,MEN,2015,6327.085
AUS-2016,AUS,EMP,MEN,2016,6403.67
AUS-2017,AUS,EMP,MEN,2017,6531.185
AUS-2018,AUS,EMP,MEN,2018,6684.638
AUS-2019,AUS,EMP,MEN,2019,6817.666
AUS-2020,AUS,EMP,MEN,2020,6696.031
AUS-1990,AUS,EMP,TOT,1990,7858.817
AUS-1991,AUS,EMP,TOT,1991,7670.535
AUS-1992,AUS,EMP,TOT,1992,7634.416
AUS-1993,AUS,EMP,TOT,1993,7653.395
AUS-1994,AUS,EMP,TOT,1994,7899.284
AUS-1995,AUS,EMP,TOT,1995,8188.812
AUS-1996,AUS,EMP,TOT,1996,8298.891
AUS-1997,AUS,EMP,TOT,1997,8366.658
AUS-1998,AUS,EMP,TOT,1998,8517.424
AUS-1999,AUS,EMP,TOT,1999,8672.614
AUS-2000,AUS,EMP,TOT,2000,8901.732
AUS-2001,AUS,EMP,TOT,2001,9015.015
AUS-2002,AUS,EMP,TOT,2002,9190.267
AUS-2003,AUS,EMP,TOT,2003,9396.537
AUS-2004,AUS,EMP,TOT,2004,9558.361
AUS-2005,AUS,EMP,TOT,2005,9880.634
AUS-2006,AUS,EMP,TOT,2006,10124.23
AUS-2007,AUS,EMP,TOT,2007,10434.27
AUS-2008,AUS,EMP,TOT,2008,10731.17
AUS-2009,AUS,EMP,TOT,2009,10805.58
AUS-2010,AUS,EMP,TOT,2010,11022.24
AUS-2011,AUS,EMP,TOT,2011,11213.82
AUS-2012,AUS,EMP,TOT,2012,11350.8
AUS-2013,AUS,EMP,TOT,2013,11456.71
AUS-2014,AUS,EMP,TOT,2014,11540.16
AUS-2015,AUS,EMP,TOT,2015,11766.27
AUS-2016,AUS,EMP,TOT,2016,11972.94
AUS-2017,AUS,EMP,TOT,2017,12250.53
AUS-2018,AUS,EMP,TOT,2018,12579.64
AUS-2019,AUS,EMP,TOT,2019,12867.96
AUS-2020,AUS,EMP,TOT,2020,12663.48
AUS-1990,AUS,EMP,WOMEN,1990,3258.593
AUS-1991,AUS,EMP,WOMEN,1991,3221.015
AUS-1992,AUS,EMP,WOMEN,1992,3232.136
AUS-1993,AUS,EMP,WOMEN,1993,3250.103
AUS-1994,AUS,EMP,WOMEN,1994,3367.054
AUS-1995,AUS,EMP,WOMEN,1995,3523.509
AUS-1996,AUS,EMP,WOMEN,1996,3583.072
AUS-1997,AUS,EMP,WOMEN,1997,3624.535
AUS-1998,AUS,EMP,WOMEN,1998,3704.846
AUS-1999,AUS,EMP,WOMEN,1999,3781.775
AUS-2000,AUS,EMP,WOMEN,2000,3923.342
AUS-2001,AUS,EMP,WOMEN,2001,4006.594
AUS-2002,AUS,EMP,WOMEN,2002,4088.678
AUS-2003,AUS,EMP,WOMEN,2003,4204.096
AUS-2004,AUS,EMP,WOMEN,2004,4261.68
AUS-2005,AUS,EMP,WOMEN,2005,4437.336
AUS-2006,AUS,EMP,WOMEN,2006,4564.704
AUS-2007,AUS,EMP,WOMEN,2007,4701.819
AUS-2008,AUS,EMP,WOMEN,2008,4850.724
AUS-2009,AUS,EMP,WOMEN,2009,4926.391
AUS-2010,AUS,EMP,WOMEN,2010,5000.834
AUS-2011,AUS,EMP,WOMEN,2011,5105.946
AUS-2012,AUS,EMP,WOMEN,2012,5187.249
AUS-2013,AUS,EMP,WOMEN,2013,5256.074
AUS-2014,AUS,EMP,WOMEN,2014,5308.238
AUS-2015,AUS,EMP,WOMEN,2015,5439.183
AUS-2016,AUS,EMP,WOMEN,2016,5569.272
AUS-2017,AUS,EMP,WOMEN,2017,5719.346
AUS-2018,AUS,EMP,WOMEN,2018,5894.999
AUS-2019,AUS,EMP,WOMEN,2019,6050.292
AUS-2020,AUS,EMP,WOMEN,2020,5967.45
AUS-1990,AUS,EMP,MEN,1990,79.21233
AUS-1991,AUS,EMP,MEN,1991,75.75577
AUS-1992,AUS,EMP,MEN,1992,74.16051
AUS-1993,AUS,EMP,MEN,1993,73.69975
AUS-1994,AUS,EMP,MEN,1994,75.05529
AUS-1995,AUS,EMP,MEN,1995,76.38482
AUS-1996,AUS,EMP,MEN,1996,76.3037
AUS-1997,AUS,EMP,MEN,1997,75.84586
AUS-1998,AUS,EMP,MEN,1998,76.17059
AUS-1999,AUS,EMP,MEN,1999,76.59881
AUS-2000,AUS,EMP,MEN,2000,76.92454
AUS-2001,AUS,EMP,MEN,2001,76.35796
AUS-2002,AUS,EMP,MEN,2002,76.68957
AUS-2003,AUS,EMP,MEN,2003,77.05504
AUS-2004,AUS,EMP,MEN,2004,77.60509
AUS-2005,AUS,EMP,MEN,2005,78.50571
AUS-2006,AUS,EMP,MEN,2006,78.8098
AUS-2007,AUS,EMP,MEN,2007,79.54396
AUS-2008,AUS,EMP,MEN,2008,79.6843
AUS-2009,AUS,EMP,MEN,2009,77.78976
AUS-2010,AUS,EMP,MEN,2010,78.59275
AUS-2011,AUS,EMP,MEN,2011,78.67326
AUS-2012,AUS,EMP,MEN,2012,78.136
AUS-2013,AUS,EMP,MEN,2013,77.5471
AUS-2014,AUS,EMP,MEN,2014,77.07588
AUS-2015,AUS,EMP,MEN,2015,77.54211
AUS-2016,AUS,EMP,MEN,2016,77.53751
AUS-2017,AUS,EMP,MEN,2017,77.8998
AUS-2018,AUS,EMP,MEN,2018,78.36392
AUS-2019,AUS,EMP,MEN,2019,78.69572
AUS-2020,AUS,EMP,MEN,2020,76.83321
AUS-1990,AUS,EMP,TOT,1990,68.37136
AUS-1991,AUS,EMP,TOT,1991,65.9215
AUS-1992,AUS,EMP,TOT,1992,64.93269
AUS-1993,AUS,EMP,TOT,1993,64.61858
AUS-1994,AUS,EMP,TOT,1994,66.00251
AUS-1995,AUS,EMP,TOT,1995,67.62838
AUS-1996,AUS,EMP,TOT,1996,67.66373
AUS-1997,AUS,EMP,TOT,1997,67.36479
AUS-1998,AUS,EMP,TOT,1998,67.80048
AUS-1999,AUS,EMP,TOT,1999,68.23203
AUS-2000,AUS,EMP,TOT,2000,69.09614
AUS-2001,AUS,EMP,TOT,2001,69.00098
AUS-2002,AUS,EMP,TOT,2002,69.35914
AUS-2003,AUS,EMP,TOT,2003,70.01125
AUS-2004,AUS,EMP,TOT,2004,70.29926
AUS-2005,AUS,EMP,TOT,2005,71.54403
AUS-2006,AUS,EMP,TOT,2006,72.12262
AUS-2007,AUS,EMP,TOT,2007,72.80006
AUS-2008,AUS,EMP,TOT,2008,73.20431
AUS-2009,AUS,EMP,TOT,2009,72.05107
AUS-2010,AUS,EMP,TOT,2010,72.37024
AUS-2011,AUS,EMP,TOT,2011,72.65694
AUS-2012,AUS,EMP,TOT,2012,72.34558
AUS-2013,AUS,EMP,TOT,2013,71.97044
AUS-2014,AUS,EMP,TOT,2014,71.56635
AUS-2015,AUS,EMP,TOT,2015,72.15796
AUS-2016,AUS,EMP,TOT,2016,72.43109
AUS-2017,AUS,EMP,TOT,2017,72.98743
AUS-2018,AUS,EMP,TOT,2018,73.75635
AUS-2019,AUS,EMP,TOT,2019,74.30949
AUS-2020,AUS,EMP,TOT,2020,72.6767
AUS-1990,AUS,EMP,WOMEN,1990,57.3747
AUS-1991,AUS,EMP,WOMEN,1991,55.96263
AUS-1992,AUS,EMP,WOMEN,1992,55.59902
AUS-1993,AUS,EMP,WOMEN,1993,55.44041
AUS-1994,AUS,EMP,WOMEN,1994,56.85906
AUS-1995,AUS,EMP,WOMEN,1995,58.79062
AUS-1996,AUS,EMP,WOMEN,1996,58.95956
AUS-1997,AUS,EMP,WOMEN,1997,58.84204
AUS-1998,AUS,EMP,WOMEN,1998,59.40298
AUS-1999,AUS,EMP,WOMEN,1999,59.85204
AUS-2000,AUS,EMP,WOMEN,2000,61.2659
AUS-2001,AUS,EMP,WOMEN,2001,61.65271
AUS-2002,AUS,EMP,WOMEN,2002,62.03787
AUS-2003,AUS,EMP,WOMEN,2003,62.97922
AUS-2004,AUS,EMP,WOMEN,2004,63.00517
AUS-2005,AUS,EMP,WOMEN,2005,64.5948
AUS-2006,AUS,EMP,WOMEN,2006,65.44512
AUS-2007,AUS,EMP,WOMEN,2007,66.06055
AUS-2008,AUS,EMP,WOMEN,2008,66.71808
AUS-2009,AUS,EMP,WOMEN,2009,66.30235
AUS-2010,AUS,EMP,WOMEN,2010,66.14607
AUS-2011,AUS,EMP,WOMEN,2011,66.6507
AUS-2012,AUS,EMP,WOMEN,2012,66.57001
AUS-2013,AUS,EMP,WOMEN,2013,66.41943
AUS-2014,AUS,EMP,WOMEN,2014,66.09975
