LocationTime,LOCATION,INDICATOR,SUBJECT,TIME,Value
AUS-1995,AUS,OVEROBESE,MEASURED,1995,59.2
AUS-2007,AUS,OVEROBESE,MEASURED,2007,61.2
AUS-2011,AUS,OVEROBESE,MEASURED,2011,63.4
AUS-2014,AUS,OVEROBESE,MEASURED,2014,63.4
AUS-2017,AUS,OVEROBESE,MEASURED,2017,65.2
AUS-1995,AUS,OVEROBESE,SELFREPORTED,1995,38.7
AUS-2001,AUS,OVEROBESE,SELFREPORTED,2001,50.0
AUS-2004,AUS,OVEROBESE,SELFREPORTED,2004,53.5
AUS-2007,AUS,OVEROBESE,SELFREPORTED,2007,56.0
AUS-2017,AUS,OVEROBESE,SELFREPORTED,2017,47.6
AUT-1991,AUT,OVEROBESE,SELFREPORTED,1991,42.0
AUT-1999,AUT,OVEROBESE,SELFREPORTED,1999,46.1
AUT-2006,AUT,OVEROBESE,SELFREPORTED,2006,47.7
AUT-2014,AUT,OVEROBESE,SELFREPORTED,2014,46.7
AUT-2019,AUT,OVEROBESE,SELFREPORTED,2019,51.1
BEL-1997,BEL,OVEROBESE,SELFREPORTED,1997,41.3
BEL-2001,BEL,OVEROBESE,SELFREPORTED,2001,44.5
BEL-2004,BEL,OVEROBESE,SELFREPORTED,2004,44.1
BEL-2008,BEL,OVEROBESE,SELFREPORTED,2008,47.5
BEL-2013,BEL,OVEROBESE,SELFREPORTED,2013,48.1
BEL-2018,BEL,OVEROBESE,SELFREPORTED,2018,49.3
CAN-2004,CAN,OVEROBESE,MEASURED,2004,56.8
CAN-2005,CAN,OVEROBESE,MEASURED,2005,57.7
CAN-2008,CAN,OVEROBESE,MEASURED,2008,60.0
CAN-2011,CAN,OVEROBESE,MEASURED,2011,60.4
CAN-2013,CAN,OVEROBESE,MEASURED,2013,62.0
CAN-2015,CAN,OVEROBESE,MEASURED,2015,64.2
CAN-2017,CAN,OVEROBESE,MEASURED,2017,60.4
CAN-2019,CAN,OVEROBESE,MEASURED,2019,59.8
CAN-1994,CAN,OVEROBESE,SELFREPORTED,1994,48.6
