LocationTime,Location,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
BRA-1990,BRA,Brazil,1990,male,75+ ,151,689024,21.92,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,male,55-74 ,601,5570146,10.79,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,male,35-54 ,1127,14165486,7.96,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,male,25-34 ,945,12198761,7.75,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,male,15-24 ,731,14568361,5.02,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,75+ ,38,1117615,3.4,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,55-74 ,196,6431086,3.05,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,35-54 ,394,14711203,2.68,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,15-24 ,304,14548740,2.09,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,25-34 ,250,12392001,2.02,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,male,5-14 ,34,17729894,0.19,"461,951,782,000",3516
BRA-1990,BRA,Brazil,1990,female,5-14 ,32,17265236,0.19,"461,951,782,000",3516
BRA-1991,BRA,Brazil,1991,male,75+ ,153,725105,21.1,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,male,55-74 ,660,5727704,11.52,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,male,35-54 ,1334,14626951,9.12,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,male,25-34 ,1002,12481850,8.03,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,male,15-24 ,771,14774615,5.22,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,55-74 ,222,6630160,3.35,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,75+ ,38,1172662,3.24,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,35-54 ,331,15218376,2.18,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,25-34 ,266,12700804,2.09,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,15-24 ,303,14737389,2.06,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,male,5-14 ,41,17989977,0.23,"602,860,000,000",4490
BRA-1991,BRA,Brazil,1991,female,5-14 ,35,17496257,0.2,"602,860,000,000",4490
BRA-1992,BRA,Brazil,1992,male,75+ ,146,754020,19.36,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,male,55-74 ,643,5899574,10.9,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,male,35-54 ,1408,15081747,9.34,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,male,25-34 ,981,12740352,7.7,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,male,15-24 ,816,14998739,5.44,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,75+ ,36,1221291,2.95,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,35-54 ,391,15718299,2.49,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,55-74 ,166,6848963,2.42,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,25-34 ,262,12985784,2.02,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,15-24 ,283,14937179,1.89,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,male,5-14 ,39,18169763,0.21,"400,599,250,000",2924
BRA-1992,BRA,Brazil,1992,female,5-14 ,36,17651310,0.2,"400,599,250,000",2924
BRA-1993,BRA,Brazil,1993,male,75+ ,168,776516,21.64,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,male,55-74 ,628,6082548,10.32,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,male,25-34 ,1183,12975409,9.12,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,male,35-54 ,1374,15546851,8.84,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,male,15-24 ,917,15249319,6.01,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,75+ ,33,1265590,2.61,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,55-74 ,182,7082827,2.57,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,15-24 ,334,15156899,2.2,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,35-54 ,346,16228348,2.13,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,25-34 ,261,13246132,1.97,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,male,5-14 ,51,18272195,0.28,"437,798,577,640",3136
BRA-1993,BRA,Brazil,1993,female,5-14 ,31,17732843,0.17,"437,798,577,640",3136
BRA-1994,BRA,Brazil,1994,male,75+ ,180,793671,22.68,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,male,55-74 ,725,6270191,11.56,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,male,25-34 ,1228,13187454,9.31,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,male,35-54 ,1436,16047095,8.95,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,male,15-24 ,988,15533989,6.36,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,75+ ,39,1307893,2.98,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,15-24 ,372,15405279,2.41,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,55-74 ,174,7323575,2.38,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,35-54 ,369,16774482,2.2,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,25-34 ,291,13479427,2.16,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,male,5-14 ,48,18311628,0.26,"558,111,997,497",3925
BRA-1994,BRA,Brazil,1994,female,5-14 ,46,17753766,0.26,"558,111,997,497",3925
BRA-1995,BRA,Brazil,1995,male,75+ ,180,806015,22.33,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,male,55-74 ,812,6459129,12.57,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,male,35-54 ,1703,16593682,10.26,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,male,25-34 ,1318,13377021,9.85,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,male,15-24 ,1084,15852481,6.84,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,75+ ,42,1349701,3.11,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,55-74 ,208,7566176,2.75,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,35-54 ,450,17368864,2.59,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,25-34 ,318,13683822,2.32,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,15-24 ,347,15683286,2.21,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,male,5-14 ,38,18309246,0.21,"769,305,386,183",5313
BRA-1995,BRA,Brazil,1995,female,5-14 ,36,17734168,0.2,"769,305,386,183",5313
BRA-1996,BRA,Brazil,1996,male,75+ ,176,861847,20.42,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,male,55-74 ,798,6651122,12.0,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,male,35-54 ,1827,17150145,10.65,"850,426,432,992",5771
BRA-1996,BRA,Brazil,1996,male,25-34 ,1265,13533249,9.35,"850,426,432,992",5771
